model,alpha,precision,ETD
PGPR,0.0000,0.0206,0.4753
PGPR,0.0500,0.0206,0.4760
PGPR,0.1000,0.0206,0.4765
PGPR,0.1500,0.0206,0.4769
PGPR,0.2000,0.0205,0.4773
PGPR,0.2500,0.0205,0.4780
PGPR,0.3000,0.0205,0.4788
PGPR,0.3500,0.0204,0.4807
PGPR,0.4000,0.0204,0.4816
PGPR,0.4500,0.0204,0.4822
PGPR,0.5000,0.0204,0.4827
PGPR,0.5500,0.0204,0.4830
PGPR,0.6000,0.0204,0.4832
PGPR,0.6500,0.0204,0.4834
PGPR,0.7000,0.0204,0.4834
PGPR,0.7500,0.0204,0.4834
PGPR,0.8000,0.0204,0.4834
PGPR,0.8500,0.0204,0.4834
PGPR,0.9000,0.0204,0.4834
PGPR,0.9500,0.0204,0.4834
PGPR,1.0000,0.0204,0.4834
UCPR,0.0000,0.0260,0.1269
UCPR,0.0500,0.0260,0.1269
UCPR,0.1000,0.0260,0.1269
UCPR,0.1500,0.0260,0.1269
UCPR,0.2000,0.0260,0.1270
UCPR,0.2500,0.0260,0.1270
UCPR,0.3000,0.0260,0.1270
UCPR,0.3500,0.0260,0.1270
UCPR,0.4000,0.0260,0.1270
UCPR,0.4500,0.0260,0.1270
UCPR,0.5000,0.0260,0.1271
UCPR,0.5500,0.0260,0.1271
UCPR,0.6000,0.0260,0.1271
UCPR,0.6500,0.0260,0.1271
UCPR,0.7000,0.0260,0.1271
UCPR,0.7500,0.0260,0.1271
UCPR,0.8000,0.0260,0.1271
UCPR,0.8500,0.0260,0.1271
UCPR,0.9000,0.0260,0.1271
UCPR,0.9500,0.0260,0.1271
UCPR,1.0000,0.0260,0.1271
