alpha,ndcg,hr,precision,recall,ETD
0.0000,0.2255,0.8124,0.0206,0.1495,0.4753
0.0500,0.2255,0.8124,0.0206,0.1497,0.4760
0.1000,0.2255,0.8124,0.0206,0.1498,0.4765
0.1500,0.2253,0.8124,0.0206,0.1499,0.4769
0.2000,0.2252,0.8124,0.0205,0.1498,0.4773
0.2500,0.2250,0.8124,0.0205,0.1499,0.4780
0.3000,0.2248,0.8124,0.0205,0.1498,0.4788
0.3500,0.2244,0.8123,0.0204,0.1496,0.4807
0.4000,0.2243,0.8123,0.0204,0.1496,0.4816
0.4500,0.2242,0.8123,0.0204,0.1497,0.4822
0.5000,0.2242,0.8123,0.0204,0.1497,0.4827
0.5500,0.2241,0.8123,0.0204,0.1498,0.4830
0.6000,0.2241,0.8123,0.0204,0.1498,0.4832
0.6500,0.2241,0.8123,0.0204,0.1499,0.4834
0.7000,0.2241,0.8123,0.0204,0.1499,0.4834
0.7500,0.2241,0.8123,0.0204,0.1499,0.4834
0.8000,0.2241,0.8123,0.0204,0.1499,0.4834
0.8500,0.2241,0.8123,0.0204,0.1499,0.4834
0.9000,0.2241,0.8123,0.0204,0.1499,0.4834
0.9500,0.2241,0.8123,0.0204,0.1499,0.4834
1.0000,0.2241,0.8123,0.0204,0.1499,0.4834
