alpha,ndcg,hr,precision,recall,LIR
0.0000,0.1743,0.2975,0.0450,0.0161,0.0082
0.0500,0.1744,0.2977,0.0450,0.0161,0.0128
0.1000,0.1744,0.2978,0.0450,0.0161,0.0161
0.1500,0.1744,0.2978,0.0450,0.0161,0.0179
0.2000,0.1743,0.2978,0.0450,0.0161,0.0193
0.2500,0.1741,0.2973,0.0450,0.0161,0.0201
0.3000,0.1742,0.2975,0.0450,0.0161,0.0204
0.3500,0.1743,0.2971,0.0449,0.0161,0.0206
0.4000,0.1743,0.2971,0.0449,0.0161,0.0206
0.4500,0.1742,0.2969,0.0448,0.0161,0.0207
0.5000,0.1741,0.2968,0.0448,0.0161,0.0207
0.5500,0.1741,0.2967,0.0448,0.0161,0.0208
0.6000,0.1739,0.2965,0.0447,0.0161,0.0208
0.6500,0.1739,0.2964,0.0447,0.0161,0.0208
0.7000,0.1739,0.2965,0.0447,0.0161,0.0208
0.7500,0.1739,0.2964,0.0447,0.0161,0.0209
0.8000,0.1738,0.2964,0.0447,0.0161,0.0209
0.8500,0.1738,0.2963,0.0447,0.0161,0.0209
0.9000,0.1738,0.2962,0.0447,0.0161,0.0209
0.9500,0.1738,0.2961,0.0446,0.0161,0.0209
1.0000,0.1529,0.2595,0.0378,0.0137,0.0209
