alpha,ndcg,hr,precision,recall,SEP
0.0000,0.1743,0.2975,0.0450,0.0161,0.6363
0.0500,0.1741,0.2983,0.0446,0.0162,0.7542
0.1000,0.1742,0.2989,0.0446,0.0161,0.7783
0.1500,0.1751,0.3002,0.0447,0.0163,0.8019
0.2000,0.1759,0.3009,0.0447,0.0164,0.8293
0.2500,0.1792,0.3030,0.0449,0.0166,0.8700
0.3000,0.1804,0.3020,0.0445,0.0164,0.8952
0.3500,0.1792,0.3000,0.0440,0.0163,0.9070
0.4000,0.1769,0.2977,0.0438,0.0164,0.9187
0.4500,0.1758,0.2962,0.0437,0.0163,0.9309
0.5000,0.1748,0.2951,0.0432,0.0161,0.9429
0.5500,0.1747,0.2944,0.0432,0.0161,0.9507
0.6000,0.1750,0.2944,0.0433,0.0161,0.9580
0.6500,0.1745,0.2921,0.0427,0.0160,0.9653
0.7000,0.1618,0.2776,0.0407,0.0147,0.9734
0.7500,0.1552,0.2716,0.0398,0.0143,0.9782
0.8000,0.1528,0.2697,0.0396,0.0143,0.9820
0.8500,0.1524,0.2695,0.0393,0.0142,0.9858
0.9000,0.1522,0.2702,0.0395,0.0145,0.9873
0.9500,0.1528,0.2708,0.0396,0.0147,0.9881
1.0000,0.1477,0.2651,0.0388,0.0145,0.9886
