model,alpha,hr,SEP
PGPR,0.0000,0.2975,0.6363
PGPR,0.0500,0.2983,0.7542
PGPR,0.1000,0.2989,0.7783
PGPR,0.1500,0.3002,0.8019
PGPR,0.2000,0.3009,0.8293
PGPR,0.2500,0.3030,0.8700
PGPR,0.3000,0.3020,0.8952
PGPR,0.3500,0.3000,0.9070
PGPR,0.4000,0.2977,0.9187
PGPR,0.4500,0.2962,0.9309
PGPR,0.5000,0.2951,0.9429
PGPR,0.5500,0.2944,0.9507
PGPR,0.6000,0.2944,0.9580
PGPR,0.6500,0.2921,0.9653
PGPR,0.7000,0.2776,0.9734
PGPR,0.7500,0.2716,0.9782
PGPR,0.8000,0.2697,0.9820
PGPR,0.8500,0.2695,0.9858
PGPR,0.9000,0.2702,0.9873
PGPR,0.9500,0.2708,0.9881
PGPR,1.0000,0.2651,0.9886
UCPR,0.0000,0.2128,0.5008
UCPR,0.0500,0.2144,0.6226
UCPR,0.1000,0.2173,0.6439
UCPR,0.1500,0.2178,0.6624
UCPR,0.2000,0.2165,0.6784
UCPR,0.2500,0.2156,0.6925
UCPR,0.3000,0.2124,0.7044
UCPR,0.3500,0.2108,0.7139
UCPR,0.4000,0.2098,0.7210
UCPR,0.4500,0.2097,0.7261
UCPR,0.5000,0.2060,0.7303
UCPR,0.5500,0.2041,0.7335
UCPR,0.6000,0.2025,0.7357
UCPR,0.6500,0.2009,0.7375
UCPR,0.7000,0.1989,0.7388
UCPR,0.7500,0.1970,0.7397
UCPR,0.8000,0.1956,0.7403
UCPR,0.8500,0.1949,0.7408
UCPR,0.9000,0.1928,0.7410
UCPR,0.9500,0.1921,0.7411
UCPR,1.0000,0.1900,0.7412
