model,alpha,ndcg,SEP
PGPR,0.0000,0.1743,0.6363
PGPR,0.0500,0.1741,0.7542
PGPR,0.1000,0.1742,0.7783
PGPR,0.1500,0.1751,0.8019
PGPR,0.2000,0.1759,0.8293
PGPR,0.2500,0.1792,0.8700
PGPR,0.3000,0.1804,0.8952
PGPR,0.3500,0.1792,0.9070
PGPR,0.4000,0.1769,0.9187
PGPR,0.4500,0.1758,0.9309
PGPR,0.5000,0.1748,0.9429
PGPR,0.5500,0.1747,0.9507
PGPR,0.6000,0.1750,0.9580
PGPR,0.6500,0.1745,0.9653
PGPR,0.7000,0.1618,0.9734
PGPR,0.7500,0.1552,0.9782
PGPR,0.8000,0.1528,0.9820
PGPR,0.8500,0.1524,0.9858
PGPR,0.9000,0.1522,0.9873
PGPR,0.9500,0.1528,0.9881
PGPR,1.0000,0.1477,0.9886
UCPR,0.0000,0.1217,0.5008
UCPR,0.0500,0.1222,0.6226
UCPR,0.1000,0.1231,0.6439
UCPR,0.1500,0.1234,0.6624
UCPR,0.2000,0.1232,0.6784
UCPR,0.2500,0.1231,0.6925
UCPR,0.3000,0.1219,0.7044
UCPR,0.3500,0.1222,0.7139
UCPR,0.4000,0.1220,0.7210
UCPR,0.4500,0.1231,0.7261
UCPR,0.5000,0.1219,0.7303
UCPR,0.5500,0.1216,0.7335
UCPR,0.6000,0.1208,0.7357
UCPR,0.6500,0.1202,0.7375
UCPR,0.7000,0.1193,0.7388
UCPR,0.7500,0.1187,0.7397
UCPR,0.8000,0.1183,0.7403
UCPR,0.8500,0.1181,0.7408
UCPR,0.9000,0.1169,0.7410
UCPR,0.9500,0.1167,0.7411
UCPR,1.0000,0.1155,0.7412
