model,alpha,precision,SEP
PGPR,0.0000,0.0450,0.6363
PGPR,0.0500,0.0446,0.7542
PGPR,0.1000,0.0446,0.7783
PGPR,0.1500,0.0447,0.8019
PGPR,0.2000,0.0447,0.8293
PGPR,0.2500,0.0449,0.8700
PGPR,0.3000,0.0445,0.8952
PGPR,0.3500,0.0440,0.9070
PGPR,0.4000,0.0438,0.9187
PGPR,0.4500,0.0437,0.9309
PGPR,0.5000,0.0432,0.9429
PGPR,0.5500,0.0432,0.9507
PGPR,0.6000,0.0433,0.9580
PGPR,0.6500,0.0427,0.9653
PGPR,0.7000,0.0407,0.9734
PGPR,0.7500,0.0398,0.9782
PGPR,0.8000,0.0396,0.9820
PGPR,0.8500,0.0393,0.9858
PGPR,0.9000,0.0395,0.9873
PGPR,0.9500,0.0396,0.9881
PGPR,1.0000,0.0388,0.9886
UCPR,0.0000,0.0287,0.5008
UCPR,0.0500,0.0290,0.6226
UCPR,0.1000,0.0293,0.6439
UCPR,0.1500,0.0294,0.6624
UCPR,0.2000,0.0292,0.6784
UCPR,0.2500,0.0292,0.6925
UCPR,0.3000,0.0287,0.7044
UCPR,0.3500,0.0284,0.7139
UCPR,0.4000,0.0281,0.7210
UCPR,0.4500,0.0279,0.7261
UCPR,0.5000,0.0274,0.7303
UCPR,0.5500,0.0271,0.7335
UCPR,0.6000,0.0268,0.7357
UCPR,0.6500,0.0265,0.7375
UCPR,0.7000,0.0261,0.7388
UCPR,0.7500,0.0258,0.7397
UCPR,0.8000,0.0257,0.7403
UCPR,0.8500,0.0255,0.7408
UCPR,0.9000,0.0253,0.7410
UCPR,0.9500,0.0252,0.7411
UCPR,1.0000,0.0249,0.7412
