model,alpha,recall,SEP
PGPR,0.0000,0.0161,0.6363
PGPR,0.0500,0.0162,0.7542
PGPR,0.1000,0.0161,0.7783
PGPR,0.1500,0.0163,0.8019
PGPR,0.2000,0.0164,0.8293
PGPR,0.2500,0.0166,0.8700
PGPR,0.3000,0.0164,0.8952
PGPR,0.3500,0.0163,0.9070
PGPR,0.4000,0.0164,0.9187
PGPR,0.4500,0.0163,0.9309
PGPR,0.5000,0.0161,0.9429
PGPR,0.5500,0.0161,0.9507
PGPR,0.6000,0.0161,0.9580
PGPR,0.6500,0.0160,0.9653
PGPR,0.7000,0.0147,0.9734
PGPR,0.7500,0.0143,0.9782
PGPR,0.8000,0.0143,0.9820
PGPR,0.8500,0.0142,0.9858
PGPR,0.9000,0.0145,0.9873
PGPR,0.9500,0.0147,0.9881
PGPR,1.0000,0.0145,0.9886
UCPR,0.0000,0.0147,0.5008
UCPR,0.0500,0.0149,0.6226
UCPR,0.1000,0.0151,0.6439
UCPR,0.1500,0.0151,0.6624
UCPR,0.2000,0.0150,0.6784
UCPR,0.2500,0.0153,0.6925
UCPR,0.3000,0.0149,0.7044
UCPR,0.3500,0.0148,0.7139
UCPR,0.4000,0.0147,0.7210
UCPR,0.4500,0.0146,0.7261
UCPR,0.5000,0.0144,0.7303
UCPR,0.5500,0.0141,0.7335
UCPR,0.6000,0.0139,0.7357
UCPR,0.6500,0.0137,0.7375
UCPR,0.7000,0.0135,0.7388
UCPR,0.7500,0.0133,0.7397
UCPR,0.8000,0.0133,0.7403
UCPR,0.8500,0.0132,0.7408
UCPR,0.9000,0.0131,0.7410
UCPR,0.9500,0.0131,0.7411
UCPR,1.0000,0.0130,0.7412
