alpha,ndcg,hr,precision,recall,ETD
0.0000,0.1177,0.2855,0.0260,0.0337,0.1269
0.0500,0.1177,0.2855,0.0260,0.0337,0.1269
0.1000,0.1177,0.2855,0.0260,0.0337,0.1269
0.1500,0.1177,0.2855,0.0260,0.0337,0.1269
0.2000,0.1177,0.2855,0.0260,0.0337,0.1270
0.2500,0.1177,0.2855,0.0260,0.0337,0.1270
0.3000,0.1177,0.2855,0.0260,0.0336,0.1270
0.3500,0.1177,0.2855,0.0260,0.0336,0.1270
0.4000,0.1178,0.2855,0.0260,0.0336,0.1270
0.4500,0.1178,0.2855,0.0260,0.0336,0.1270
0.5000,0.1178,0.2855,0.0260,0.0336,0.1271
0.5500,0.1178,0.2855,0.0260,0.0336,0.1271
0.6000,0.1178,0.2855,0.0260,0.0336,0.1271
0.6500,0.1178,0.2855,0.0260,0.0336,0.1271
0.7000,0.1178,0.2855,0.0260,0.0336,0.1271
0.7500,0.1178,0.2855,0.0260,0.0336,0.1271
0.8000,0.1178,0.2855,0.0260,0.0336,0.1271
0.8500,0.1178,0.2855,0.0260,0.0336,0.1271
0.9000,0.1178,0.2855,0.0260,0.0336,0.1271
0.9500,0.1178,0.2855,0.0260,0.0336,0.1271
1.0000,0.1178,0.2855,0.0260,0.0336,0.1271
