model,alpha,hr,LIR
PGPR,0.0000,0.1875,0.0062
PGPR,0.0500,0.1875,0.0212
PGPR,0.1000,0.1875,0.0215
PGPR,0.1500,0.1875,0.0217
PGPR,0.2000,0.1877,0.0218
PGPR,0.2500,0.1871,0.0218
PGPR,0.3000,0.1868,0.0218
PGPR,0.3500,0.1863,0.0218
PGPR,0.4000,0.1861,0.0218
PGPR,0.4500,0.1858,0.0218
PGPR,0.5000,0.1857,0.0218
PGPR,0.5500,0.1857,0.0218
PGPR,0.6000,0.1857,0.0218
PGPR,0.6500,0.1857,0.0218
PGPR,0.7000,0.1856,0.0218
PGPR,0.7500,0.1855,0.0218
PGPR,0.8000,0.1855,0.0218
PGPR,0.8500,0.1855,0.0219
PGPR,0.9000,0.1855,0.0219
PGPR,0.9500,0.1854,0.0219
PGPR,1.0000,0.0921,0.0219
UCPR-matched,0.0000,0.2197,0.0050
UCPR-matched,0.0500,0.2195,0.0094
UCPR-matched,0.1000,0.2195,0.0107
UCPR-matched,0.1500,0.2197,0.0112
UCPR-matched,0.2000,0.2197,0.0115
UCPR-matched,0.2500,0.2197,0.0117
UCPR-matched,0.3000,0.2197,0.0117
UCPR-matched,0.3500,0.2197,0.0118
UCPR-matched,0.4000,0.2198,0.0118
UCPR-matched,0.4500,0.2197,0.0118
UCPR-matched,0.5000,0.2197,0.0118
UCPR-matched,0.5500,0.2197,0.0118
UCPR-matched,0.6000,0.2197,0.0118
UCPR-matched,0.6500,0.2197,0.0118
UCPR-matched,0.7000,0.2197,0.0118
UCPR-matched,0.7500,0.2196,0.0118
UCPR-matched,0.8000,0.2196,0.0118
UCPR-matched,0.8500,0.2196,0.0118
UCPR-matched,0.9000,0.2196,0.0118
UCPR-matched,0.9500,0.2196,0.0118
UCPR-matched,1.0000,0.1998,0.0118
CAFE,0.0000,0.1812,0.0012
CAFE,0.0500,0.1810,0.0040
CAFE,0.1000,0.1808,0.0041
CAFE,0.1500,0.1808,0.0041
CAFE,0.2000,0.1808,0.0041
CAFE,0.2500,0.1808,0.0041
CAFE,0.3000,0.1808,0.0041
CAFE,0.3500,0.1809,0.0041
CAFE,0.4000,0.1809,0.0041
CAFE,0.4500,0.1809,0.0041
CAFE,0.5000,0.1809,0.0042
CAFE,0.5500,0.1809,0.0042
CAFE,0.6000,0.1809,0.0042
CAFE,0.6500,0.1809,0.0042
CAFE,0.7000,0.1809,0.0042
CAFE,0.7500,0.1809,0.0042
CAFE,0.8000,0.1809,0.0042
CAFE,0.8500,0.1809,0.0042
CAFE,0.9000,0.1809,0.0042
CAFE,0.9500,0.1809,0.0042
CAFE,1.0000,0.1652,0.0042
