model,alpha,ndcg,LIR
PGPR,0.0000,0.1130,0.0062
PGPR,0.0500,0.1130,0.0212
PGPR,0.1000,0.1130,0.0215
PGPR,0.1500,0.1130,0.0217
PGPR,0.2000,0.1131,0.0218
PGPR,0.2500,0.1129,0.0218
PGPR,0.3000,0.1127,0.0218
PGPR,0.3500,0.1124,0.0218
PGPR,0.4000,0.1122,0.0218
PGPR,0.4500,0.1121,0.0218
PGPR,0.5000,0.1120,0.0218
PGPR,0.5500,0.1120,0.0218
PGPR,0.6000,0.1120,0.0218
PGPR,0.6500,0.1120,0.0218
PGPR,0.7000,0.1120,0.0218
PGPR,0.7500,0.1119,0.0218
PGPR,0.8000,0.1119,0.0218
PGPR,0.8500,0.1119,0.0219
PGPR,0.9000,0.1119,0.0219
PGPR,0.9500,0.1119,0.0219
PGPR,1.0000,0.0680,0.0219
UCPR-matched,0.0000,0.1256,0.0050
UCPR-matched,0.0500,0.1255,0.0094
UCPR-matched,0.1000,0.1255,0.0107
UCPR-matched,0.1500,0.1256,0.0112
UCPR-matched,0.2000,0.1256,0.0115
UCPR-matched,0.2500,0.1257,0.0117
UCPR-matched,0.3000,0.1257,0.0117
UCPR-matched,0.3500,0.1257,0.0118
UCPR-matched,0.4000,0.1257,0.0118
UCPR-matched,0.4500,0.1257,0.0118
UCPR-matched,0.5000,0.1257,0.0118
UCPR-matched,0.5500,0.1257,0.0118
UCPR-matched,0.6000,0.1257,0.0118
UCPR-matched,0.6500,0.1257,0.0118
UCPR-matched,0.7000,0.1257,0.0118
UCPR-matched,0.7500,0.1257,0.0118
UCPR-matched,0.8000,0.1257,0.0118
UCPR-matched,0.8500,0.1257,0.0118
UCPR-matched,0.9000,0.1257,0.0118
UCPR-matched,0.9500,0.1257,0.0118
UCPR-matched,1.0000,0.1231,0.0118
CAFE,0.0000,0.1019,0.0012
CAFE,0.0500,0.1019,0.0040
CAFE,0.1000,0.1018,0.0041
CAFE,0.1500,0.1018,0.0041
CAFE,0.2000,0.1018,0.0041
CAFE,0.2500,0.1018,0.0041
CAFE,0.3000,0.1018,0.0041
CAFE,0.3500,0.1018,0.0041
CAFE,0.4000,0.1018,0.0041
CAFE,0.4500,0.1018,0.0041
CAFE,0.5000,0.1018,0.0042
CAFE,0.5500,0.1018,0.0042
CAFE,0.6000,0.1018,0.0042
CAFE,0.6500,0.1018,0.0042
CAFE,0.7000,0.1018,0.0042
CAFE,0.7500,0.1018,0.0042
CAFE,0.8000,0.1018,0.0042
CAFE,0.8500,0.1018,0.0042
CAFE,0.9000,0.1018,0.0042
CAFE,0.9500,0.1018,0.0042
CAFE,1.0000,0.0939,0.0042
