model,alpha,ndcg,SEP
PGPR,0.0000,0.1130,0.5688
PGPR,0.0500,0.1126,0.8158
PGPR,0.1000,0.1126,0.8537
PGPR,0.1500,0.1108,0.8810
PGPR,0.2000,0.1097,0.8997
PGPR,0.2500,0.1084,0.9132
PGPR,0.3000,0.1076,0.9238
PGPR,0.3500,0.1070,0.9330
PGPR,0.4000,0.1062,0.9409
PGPR,0.4500,0.1055,0.9478
PGPR,0.5000,0.1041,0.9539
PGPR,0.5500,0.1028,0.9598
PGPR,0.6000,0.0996,0.9657
PGPR,0.6500,0.0935,0.9710
PGPR,0.7000,0.0901,0.9750
PGPR,0.7500,0.0888,0.9782
PGPR,0.8000,0.0875,0.9809
PGPR,0.8500,0.0850,0.9833
PGPR,0.9000,0.0814,0.9853
PGPR,0.9500,0.0762,0.9870
PGPR,1.0000,0.0676,0.9877
UCPR-matched,0.0000,0.1256,0.5170
UCPR-matched,0.0500,0.1258,0.7669
UCPR-matched,0.1000,0.1265,0.7980
UCPR-matched,0.1500,0.1273,0.8251
UCPR-matched,0.2000,0.1278,0.8472
UCPR-matched,0.2500,0.1289,0.8641
UCPR-matched,0.3000,0.1292,0.8772
UCPR-matched,0.3500,0.1290,0.8874
UCPR-matched,0.4000,0.1293,0.8955
UCPR-matched,0.4500,0.1299,0.9025
UCPR-matched,0.5000,0.1299,0.9083
UCPR-matched,0.5500,0.1296,0.9133
UCPR-matched,0.6000,0.1298,0.9175
UCPR-matched,0.6500,0.1301,0.9212
UCPR-matched,0.7000,0.1303,0.9243
UCPR-matched,0.7500,0.1307,0.9269
UCPR-matched,0.8000,0.1314,0.9292
UCPR-matched,0.8500,0.1295,0.9310
UCPR-matched,0.9000,0.1282,0.9324
UCPR-matched,0.9500,0.1261,0.9332
UCPR-matched,1.0000,0.1238,0.9336
CAFE,0.0000,0.1019,0.7308
CAFE,0.0500,0.0971,0.9233
CAFE,0.1000,0.0953,0.9598
CAFE,0.1500,0.0931,0.9731
CAFE,0.2000,0.0910,0.9793
CAFE,0.2500,0.0900,0.9824
CAFE,0.3000,0.0889,0.9839
CAFE,0.3500,0.0884,0.9850
CAFE,0.4000,0.0876,0.9857
CAFE,0.4500,0.0870,0.9863
CAFE,0.5000,0.0868,0.9869
CAFE,0.5500,0.0864,0.9873
CAFE,0.6000,0.0861,0.9876
CAFE,0.6500,0.0857,0.9879
CAFE,0.7000,0.0852,0.9882
CAFE,0.7500,0.0848,0.9884
CAFE,0.8000,0.0842,0.9886
CAFE,0.8500,0.0839,0.9888
CAFE,0.9000,0.0834,0.9889
CAFE,0.9500,0.0827,0.9890
CAFE,1.0000,0.0822,0.9890
