model,alpha,precision,SEP
PGPR,0.0000,0.0255,0.5688
PGPR,0.0500,0.0254,0.8158
PGPR,0.1000,0.0251,0.8537
PGPR,0.1500,0.0245,0.8810
PGPR,0.2000,0.0241,0.8997
PGPR,0.2500,0.0236,0.9132
PGPR,0.3000,0.0231,0.9238
PGPR,0.3500,0.0228,0.9330
PGPR,0.4000,0.0224,0.9409
PGPR,0.4500,0.0217,0.9478
PGPR,0.5000,0.0212,0.9539
PGPR,0.5500,0.0205,0.9598
PGPR,0.6000,0.0196,0.9657
PGPR,0.6500,0.0183,0.9710
PGPR,0.7000,0.0174,0.9750
PGPR,0.7500,0.0167,0.9782
PGPR,0.8000,0.0161,0.9809
PGPR,0.8500,0.0152,0.9833
PGPR,0.9000,0.0141,0.9853
PGPR,0.9500,0.0126,0.9870
PGPR,1.0000,0.0107,0.9877
UCPR-matched,0.0000,0.0316,0.5170
UCPR-matched,0.0500,0.0320,0.7669
UCPR-matched,0.1000,0.0320,0.7980
UCPR-matched,0.1500,0.0322,0.8251
UCPR-matched,0.2000,0.0324,0.8472
UCPR-matched,0.2500,0.0325,0.8641
UCPR-matched,0.3000,0.0325,0.8772
UCPR-matched,0.3500,0.0323,0.8874
UCPR-matched,0.4000,0.0323,0.8955
UCPR-matched,0.4500,0.0323,0.9025
UCPR-matched,0.5000,0.0321,0.9083
UCPR-matched,0.5500,0.0319,0.9133
UCPR-matched,0.6000,0.0318,0.9175
UCPR-matched,0.6500,0.0317,0.9212
UCPR-matched,0.7000,0.0315,0.9243
UCPR-matched,0.7500,0.0314,0.9269
UCPR-matched,0.8000,0.0310,0.9292
UCPR-matched,0.8500,0.0303,0.9310
UCPR-matched,0.9000,0.0295,0.9324
UCPR-matched,0.9500,0.0286,0.9332
UCPR-matched,1.0000,0.0278,0.9336
CAFE,0.0000,0.0259,0.7308
CAFE,0.0500,0.0231,0.9233
CAFE,0.1000,0.0218,0.9598
CAFE,0.1500,0.0206,0.9731
CAFE,0.2000,0.0199,0.9793
CAFE,0.2500,0.0195,0.9824
CAFE,0.3000,0.0191,0.9839
CAFE,0.3500,0.0189,0.9850
CAFE,0.4000,0.0188,0.9857
CAFE,0.4500,0.0186,0.9863
CAFE,0.5000,0.0184,0.9869
CAFE,0.5500,0.0183,0.9873
CAFE,0.6000,0.0181,0.9876
CAFE,0.6500,0.0179,0.9879
CAFE,0.7000,0.0177,0.9882
CAFE,0.7500,0.0176,0.9884
CAFE,0.8000,0.0174,0.9886
CAFE,0.8500,0.0173,0.9888
CAFE,0.9000,0.0170,0.9889
CAFE,0.9500,0.0167,0.9890
CAFE,1.0000,0.0165,0.9890
