model,alpha,recall,SEP
PGPR,0.0000,0.0110,0.5688
PGPR,0.0500,0.0110,0.8158
PGPR,0.1000,0.0108,0.8537
PGPR,0.1500,0.0106,0.8810
PGPR,0.2000,0.0105,0.8997
PGPR,0.2500,0.0102,0.9132
PGPR,0.3000,0.0101,0.9238
PGPR,0.3500,0.0099,0.9330
PGPR,0.4000,0.0098,0.9409
PGPR,0.4500,0.0096,0.9478
PGPR,0.5000,0.0094,0.9539
PGPR,0.5500,0.0091,0.9598
PGPR,0.6000,0.0086,0.9657
PGPR,0.6500,0.0081,0.9710
PGPR,0.7000,0.0075,0.9750
PGPR,0.7500,0.0071,0.9782
PGPR,0.8000,0.0069,0.9809
PGPR,0.8500,0.0065,0.9833
PGPR,0.9000,0.0061,0.9853
PGPR,0.9500,0.0055,0.9870
PGPR,1.0000,0.0048,0.9877
UCPR-matched,0.0000,0.0150,0.5170
UCPR-matched,0.0500,0.0151,0.7669
UCPR-matched,0.1000,0.0152,0.7980
UCPR-matched,0.1500,0.0152,0.8251
UCPR-matched,0.2000,0.0151,0.8472
UCPR-matched,0.2500,0.0153,0.8641
UCPR-matched,0.3000,0.0152,0.8772
UCPR-matched,0.3500,0.0150,0.8874
UCPR-matched,0.4000,0.0150,0.8955
UCPR-matched,0.4500,0.0150,0.9025
UCPR-matched,0.5000,0.0148,0.9083
UCPR-matched,0.5500,0.0146,0.9133
UCPR-matched,0.6000,0.0149,0.9175
UCPR-matched,0.6500,0.0147,0.9212
UCPR-matched,0.7000,0.0146,0.9243
UCPR-matched,0.7500,0.0147,0.9269
UCPR-matched,0.8000,0.0146,0.9292
UCPR-matched,0.8500,0.0144,0.9310
UCPR-matched,0.9000,0.0139,0.9324
UCPR-matched,0.9500,0.0132,0.9332
UCPR-matched,1.0000,0.0127,0.9336
CAFE,0.0000,0.0115,0.7308
CAFE,0.0500,0.0107,0.9233
CAFE,0.1000,0.0101,0.9598
CAFE,0.1500,0.0097,0.9731
CAFE,0.2000,0.0093,0.9793
CAFE,0.2500,0.0090,0.9824
CAFE,0.3000,0.0087,0.9839
CAFE,0.3500,0.0087,0.9850
CAFE,0.4000,0.0084,0.9857
CAFE,0.4500,0.0083,0.9863
CAFE,0.5000,0.0082,0.9869
CAFE,0.5500,0.0082,0.9873
CAFE,0.6000,0.0081,0.9876
CAFE,0.6500,0.0081,0.9879
CAFE,0.7000,0.0080,0.9882
CAFE,0.7500,0.0079,0.9884
CAFE,0.8000,0.0079,0.9886
CAFE,0.8500,0.0078,0.9888
CAFE,0.9000,0.0077,0.9889
CAFE,0.9500,0.0076,0.9890
CAFE,1.0000,0.0075,0.9890
