model,alpha,precision,LIR
PGPR,0.0000,0.0255,0.0062
PGPR,0.0500,0.0255,0.0212
PGPR,0.1000,0.0254,0.0215
PGPR,0.1500,0.0254,0.0217
PGPR,0.2000,0.0254,0.0218
PGPR,0.2500,0.0253,0.0218
PGPR,0.3000,0.0252,0.0218
PGPR,0.3500,0.0252,0.0218
PGPR,0.4000,0.0251,0.0218
PGPR,0.4500,0.0251,0.0218
PGPR,0.5000,0.0251,0.0218
PGPR,0.5500,0.0251,0.0218
PGPR,0.6000,0.0251,0.0218
PGPR,0.6500,0.0251,0.0218
PGPR,0.7000,0.0251,0.0218
PGPR,0.7500,0.0250,0.0218
PGPR,0.8000,0.0250,0.0218
PGPR,0.8500,0.0250,0.0219
PGPR,0.9000,0.0250,0.0219
PGPR,0.9500,0.0250,0.0219
PGPR,1.0000,0.0106,0.0219
UCPR,0.0000,0.0316,0.0050
UCPR,0.0500,0.0316,0.0094
UCPR,0.1000,0.0316,0.0107
UCPR,0.1500,0.0316,0.0112
UCPR,0.2000,0.0316,0.0115
UCPR,0.2500,0.0316,0.0117
UCPR,0.3000,0.0316,0.0117
UCPR,0.3500,0.0316,0.0118
UCPR,0.4000,0.0316,0.0118
UCPR,0.4500,0.0316,0.0118
UCPR,0.5000,0.0316,0.0118
UCPR,0.5500,0.0316,0.0118
UCPR,0.6000,0.0316,0.0118
UCPR,0.6500,0.0316,0.0118
UCPR,0.7000,0.0316,0.0118
UCPR,0.7500,0.0316,0.0118
UCPR,0.8000,0.0316,0.0118
UCPR,0.8500,0.0316,0.0118
UCPR,0.9000,0.0316,0.0118
UCPR,0.9500,0.0316,0.0118
UCPR,1.0000,0.0294,0.0118
CAFE,0.0000,0.0259,0.0012
CAFE,0.0500,0.0258,0.0040
CAFE,0.1000,0.0258,0.0041
CAFE,0.1500,0.0258,0.0041
CAFE,0.2000,0.0258,0.0041
CAFE,0.2500,0.0258,0.0041
CAFE,0.3000,0.0258,0.0041
CAFE,0.3500,0.0258,0.0041
CAFE,0.4000,0.0258,0.0041
CAFE,0.4500,0.0258,0.0041
CAFE,0.5000,0.0258,0.0042
CAFE,0.5500,0.0258,0.0042
CAFE,0.6000,0.0258,0.0042
CAFE,0.6500,0.0258,0.0042
CAFE,0.7000,0.0258,0.0042
CAFE,0.7500,0.0258,0.0042
CAFE,0.8000,0.0258,0.0042
CAFE,0.8500,0.0258,0.0042
CAFE,0.9000,0.0258,0.0042
CAFE,0.9500,0.0258,0.0042
CAFE,1.0000,0.0248,0.0042
TPRec,0.0000,0.0348,0.0056
TPRec,0.0500,0.0348,0.0105
TPRec,0.1000,0.0348,0.0107
TPRec,0.1500,0.0347,0.0107
TPRec,0.2000,0.0347,0.0108
TPRec,0.2500,0.0347,0.0109
TPRec,0.3000,0.0347,0.0110
TPRec,0.3500,0.0347,0.0110
TPRec,0.4000,0.0347,0.0110
TPRec,0.4500,0.0347,0.0110
TPRec,0.5000,0.0347,0.0110
TPRec,0.5500,0.0347,0.0110
TPRec,0.6000,0.0347,0.0110
TPRec,0.6500,0.0347,0.0110
TPRec,0.7000,0.0347,0.0110
TPRec,0.7500,0.0347,0.0110
TPRec,0.8000,0.0347,0.0110
TPRec,0.8500,0.0347,0.0110
TPRec,0.9000,0.0347,0.0110
TPRec,0.9500,0.0347,0.0110
TPRec,1.0000,0.0219,0.0111
KGGLM,0.0000,0.0164,0.0007
KGGLM,0.0500,0.0164,0.0007
KGGLM,0.1000,0.0164,0.0008
KGGLM,0.1500,0.0164,0.0008
KGGLM,0.2000,0.0164,0.0009
KGGLM,0.2500,0.0164,0.0009
KGGLM,0.3000,0.0164,0.0009
KGGLM,0.3500,0.0164,0.0009
KGGLM,0.4000,0.0164,0.0009
KGGLM,0.4500,0.0164,0.0009
KGGLM,0.5000,0.0164,0.0009
KGGLM,0.5500,0.0164,0.0009
KGGLM,0.6000,0.0164,0.0009
KGGLM,0.6500,0.0164,0.0009
KGGLM,0.7000,0.0164,0.0009
KGGLM,0.7500,0.0164,0.0009
KGGLM,0.8000,0.0164,0.0009
KGGLM,0.8500,0.0164,0.0009
KGGLM,0.9000,0.0164,0.0009
KGGLM,0.9500,0.0164,0.0009
KGGLM,1.0000,0.0164,0.0009
PEARLM,0.0000,0.0127,0.0011
PEARLM,0.0500,0.0127,0.0012
PEARLM,0.1000,0.0128,0.0013
PEARLM,0.1500,0.0128,0.0013
PEARLM,0.2000,0.0128,0.0013
PEARLM,0.2500,0.0128,0.0014
PEARLM,0.3000,0.0128,0.0014
PEARLM,0.3500,0.0128,0.0014
PEARLM,0.4000,0.0128,0.0014
PEARLM,0.4500,0.0128,0.0014
PEARLM,0.5000,0.0128,0.0014
PEARLM,0.5500,0.0128,0.0014
PEARLM,0.6000,0.0128,0.0014
PEARLM,0.6500,0.0128,0.0014
PEARLM,0.7000,0.0128,0.0014
PEARLM,0.7500,0.0128,0.0014
PEARLM,0.8000,0.0128,0.0014
PEARLM,0.8500,0.0128,0.0014
PEARLM,0.9000,0.0128,0.0014
PEARLM,0.9500,0.0128,0.0014
PEARLM,1.0000,0.0128,0.0014
