model,alpha,hr,SEP
PGPR,0.0000,0.1875,0.5688
PGPR,0.0500,0.1867,0.8158
PGPR,0.1000,0.1860,0.8537
PGPR,0.1500,0.1829,0.8810
PGPR,0.2000,0.1813,0.8997
PGPR,0.2500,0.1791,0.9132
PGPR,0.3000,0.1774,0.9238
PGPR,0.3500,0.1757,0.9330
PGPR,0.4000,0.1735,0.9409
PGPR,0.4500,0.1713,0.9478
PGPR,0.5000,0.1678,0.9539
PGPR,0.5500,0.1643,0.9598
PGPR,0.6000,0.1585,0.9657
PGPR,0.6500,0.1492,0.9710
PGPR,0.7000,0.1427,0.9750
PGPR,0.7500,0.1387,0.9782
PGPR,0.8000,0.1349,0.9809
PGPR,0.8500,0.1285,0.9833
PGPR,0.9000,0.1208,0.9853
PGPR,0.9500,0.1091,0.9870
PGPR,1.0000,0.0937,0.9877
UCPR,0.0000,0.2197,0.5170
UCPR,0.0500,0.2209,0.7669
UCPR,0.1000,0.2229,0.7980
UCPR,0.1500,0.2242,0.8251
UCPR,0.2000,0.2265,0.8472
UCPR,0.2500,0.2280,0.8641
UCPR,0.3000,0.2284,0.8772
UCPR,0.3500,0.2278,0.8874
UCPR,0.4000,0.2281,0.8955
UCPR,0.4500,0.2287,0.9025
UCPR,0.5000,0.2277,0.9083
UCPR,0.5500,0.2264,0.9133
UCPR,0.6000,0.2272,0.9175
UCPR,0.6500,0.2265,0.9212
UCPR,0.7000,0.2256,0.9243
UCPR,0.7500,0.2249,0.9269
UCPR,0.8000,0.2249,0.9292
UCPR,0.8500,0.2200,0.9310
UCPR,0.9000,0.2163,0.9324
UCPR,0.9500,0.2108,0.9332
UCPR,1.0000,0.2067,0.9336
CAFE,0.0000,0.1812,0.7308
CAFE,0.0500,0.1683,0.9233
CAFE,0.1000,0.1625,0.9598
CAFE,0.1500,0.1568,0.9731
CAFE,0.2000,0.1517,0.9793
CAFE,0.2500,0.1492,0.9824
CAFE,0.3000,0.1470,0.9839
CAFE,0.3500,0.1457,0.9850
CAFE,0.4000,0.1443,0.9857
CAFE,0.4500,0.1429,0.9863
CAFE,0.5000,0.1426,0.9869
CAFE,0.5500,0.1418,0.9873
CAFE,0.6000,0.1410,0.9876
CAFE,0.6500,0.1395,0.9879
CAFE,0.7000,0.1379,0.9882
CAFE,0.7500,0.1372,0.9884
CAFE,0.8000,0.1357,0.9886
CAFE,0.8500,0.1348,0.9888
CAFE,0.9000,0.1332,0.9889
CAFE,0.9500,0.1310,0.9890
CAFE,1.0000,0.1293,0.9890
TPRec,0.0000,0.1981,0.5499
TPRec,0.0500,0.2019,0.7269
TPRec,0.1000,0.2062,0.7804
TPRec,0.1500,0.2084,0.8139
TPRec,0.2000,0.2108,0.8365
TPRec,0.2500,0.2090,0.8529
TPRec,0.3000,0.2067,0.8653
TPRec,0.3500,0.2031,0.8748
TPRec,0.4000,0.2008,0.8824
TPRec,0.4500,0.1972,0.8886
TPRec,0.5000,0.1938,0.8936
TPRec,0.5500,0.1891,0.8978
TPRec,0.6000,0.1870,0.9014
TPRec,0.6500,0.1827,0.9044
TPRec,0.7000,0.1793,0.9068
TPRec,0.7500,0.1740,0.9088
TPRec,0.8000,0.1696,0.9104
TPRec,0.8500,0.1633,0.9117
TPRec,0.9000,0.1586,0.9126
TPRec,0.9500,0.1550,0.9131
TPRec,1.0000,0.1501,0.9132
KGGLM,0.0000,0.1260,0.6963
KGGLM,0.0500,0.1259,0.6994
KGGLM,0.1000,0.1262,0.6999
KGGLM,0.1500,0.1261,0.7000
KGGLM,0.2000,0.1261,0.7001
KGGLM,0.2500,0.1262,0.7005
KGGLM,0.3000,0.1262,0.7007
KGGLM,0.3500,0.1263,0.7011
KGGLM,0.4000,0.1263,0.7048
KGGLM,0.4500,0.1267,0.7066
KGGLM,0.5000,0.1266,0.7068
KGGLM,0.5500,0.1267,0.7079
KGGLM,0.6000,0.1265,0.7152
KGGLM,0.6500,0.1266,0.7169
KGGLM,0.7000,0.1267,0.7175
KGGLM,0.7500,0.1267,0.7177
KGGLM,0.8000,0.1267,0.7178
KGGLM,0.8500,0.1265,0.7185
KGGLM,0.9000,0.1264,0.7186
KGGLM,0.9500,0.1264,0.7187
KGGLM,1.0000,0.1264,0.7187
PEARLM,0.0000,0.1001,0.5267
PEARLM,0.0500,0.0976,0.5828
PEARLM,0.1000,0.0973,0.5917
PEARLM,0.1500,0.0975,0.5970
PEARLM,0.2000,0.0969,0.6013
PEARLM,0.2500,0.0971,0.6040
PEARLM,0.3000,0.0969,0.6059
PEARLM,0.3500,0.0967,0.6074
PEARLM,0.4000,0.0967,0.6084
PEARLM,0.4500,0.0964,0.6090
PEARLM,0.5000,0.0962,0.6095
PEARLM,0.5500,0.0960,0.6098
PEARLM,0.6000,0.0960,0.6101
PEARLM,0.6500,0.0958,0.6102
PEARLM,0.7000,0.0958,0.6104
PEARLM,0.7500,0.0958,0.6104
PEARLM,0.8000,0.0957,0.6105
PEARLM,0.8500,0.0957,0.6106
PEARLM,0.9000,0.0956,0.6106
PEARLM,0.9500,0.0958,0.6106
PEARLM,1.0000,0.0958,0.6106
