model,alpha,ndcg,ETD
PGPR,0.0000,0.2965,0.1611
PGPR,0.0500,0.2983,0.2449
PGPR,0.1000,0.2950,0.3007
PGPR,0.1500,0.2936,0.3523
PGPR,0.2000,0.2922,0.3991
PGPR,0.2500,0.2892,0.4373
PGPR,0.3000,0.2859,0.4674
PGPR,0.3500,0.2833,0.4886
PGPR,0.4000,0.2819,0.5023
PGPR,0.4500,0.2816,0.5102
PGPR,0.5000,0.2813,0.5152
PGPR,0.5500,0.2813,0.5174
PGPR,0.6000,0.2813,0.5184
PGPR,0.6500,0.2815,0.5190
PGPR,0.7000,0.2813,0.5191
PGPR,0.7500,0.2813,0.5191
PGPR,0.8000,0.2813,0.5191
PGPR,0.8500,0.2813,0.5191
PGPR,0.9000,0.2813,0.5191
PGPR,0.9500,0.2813,0.5191
PGPR,1.0000,0.2813,0.5191
UCPR,0.0000,0.2518,0.2088
UCPR,0.0500,0.2504,0.2261
UCPR,0.1000,0.2509,0.2331
UCPR,0.1500,0.2503,0.2393
UCPR,0.2000,0.2502,0.2443
UCPR,0.2500,0.2498,0.2478
UCPR,0.3000,0.2493,0.2500
UCPR,0.3500,0.2492,0.2519
UCPR,0.4000,0.2489,0.2532
UCPR,0.4500,0.2487,0.2544
UCPR,0.5000,0.2485,0.2551
UCPR,0.5500,0.2486,0.2554
UCPR,0.6000,0.2486,0.2554
UCPR,0.6500,0.2486,0.2555
UCPR,0.7000,0.2486,0.2555
UCPR,0.7500,0.2486,0.2555
UCPR,0.8000,0.2486,0.2555
UCPR,0.8500,0.2486,0.2555
UCPR,0.9000,0.2486,0.2555
UCPR,0.9500,0.2486,0.2555
UCPR,1.0000,0.2486,0.2555
CAFE,0.0000,0.3211,0.2902
CAFE,0.0500,0.3160,0.5971
CAFE,0.1000,0.3041,0.7811
CAFE,0.1500,0.2986,0.8348
CAFE,0.2000,0.2965,0.8500
CAFE,0.2500,0.2962,0.8534
CAFE,0.3000,0.2957,0.8540
CAFE,0.3500,0.2958,0.8542
CAFE,0.4000,0.2958,0.8542
CAFE,0.4500,0.2958,0.8542
CAFE,0.5000,0.2958,0.8542
CAFE,0.5500,0.2958,0.8542
CAFE,0.6000,0.2958,0.8542
CAFE,0.6500,0.2958,0.8542
CAFE,0.7000,0.2958,0.8542
CAFE,0.7500,0.2958,0.8542
CAFE,0.8000,0.2958,0.8542
CAFE,0.8500,0.2958,0.8542
CAFE,0.9000,0.2958,0.8542
CAFE,0.9500,0.2958,0.8542
CAFE,1.0000,0.2958,0.8542
TPRec,0.0000,0.2667,0.2874
TPRec,0.0500,0.2667,0.4485
TPRec,0.1000,0.2686,0.5617
TPRec,0.1500,0.2679,0.6323
TPRec,0.2000,0.2669,0.6744
TPRec,0.2500,0.2656,0.6990
TPRec,0.3000,0.2644,0.7128
TPRec,0.3500,0.2640,0.7212
TPRec,0.4000,0.2636,0.7256
TPRec,0.4500,0.2637,0.7281
TPRec,0.5000,0.2637,0.7295
TPRec,0.5500,0.2637,0.7299
TPRec,0.6000,0.2637,0.7300
TPRec,0.6500,0.2637,0.7301
TPRec,0.7000,0.2637,0.7301
TPRec,0.7500,0.2637,0.7301
TPRec,0.8000,0.2637,0.7301
TPRec,0.8500,0.2637,0.7301
TPRec,0.9000,0.2637,0.7301
TPRec,0.9500,0.2637,0.7301
TPRec,1.0000,0.2637,0.7301
