model,alpha,recall,ETD
PGPR,0.0000,0.0373,0.1611
PGPR,0.0500,0.0374,0.2449
PGPR,0.1000,0.0361,0.3007
PGPR,0.1500,0.0349,0.3523
PGPR,0.2000,0.0335,0.3991
PGPR,0.2500,0.0323,0.4373
PGPR,0.3000,0.0310,0.4674
PGPR,0.3500,0.0300,0.4886
PGPR,0.4000,0.0295,0.5023
PGPR,0.4500,0.0291,0.5102
PGPR,0.5000,0.0289,0.5152
PGPR,0.5500,0.0289,0.5174
PGPR,0.6000,0.0288,0.5184
PGPR,0.6500,0.0288,0.5190
PGPR,0.7000,0.0288,0.5191
PGPR,0.7500,0.0288,0.5191
PGPR,0.8000,0.0288,0.5191
PGPR,0.8500,0.0288,0.5191
PGPR,0.9000,0.0288,0.5191
PGPR,0.9500,0.0288,0.5191
PGPR,1.0000,0.0288,0.5191
UCPR,0.0000,0.0451,0.2088
UCPR,0.0500,0.0445,0.2261
UCPR,0.1000,0.0445,0.2331
UCPR,0.1500,0.0442,0.2393
UCPR,0.2000,0.0440,0.2443
UCPR,0.2500,0.0438,0.2478
UCPR,0.3000,0.0437,0.2500
UCPR,0.3500,0.0436,0.2519
UCPR,0.4000,0.0435,0.2532
UCPR,0.4500,0.0434,0.2544
UCPR,0.5000,0.0434,0.2551
UCPR,0.5500,0.0434,0.2554
UCPR,0.6000,0.0434,0.2554
UCPR,0.6500,0.0434,0.2555
UCPR,0.7000,0.0434,0.2555
UCPR,0.7500,0.0434,0.2555
UCPR,0.8000,0.0434,0.2555
UCPR,0.8500,0.0434,0.2555
UCPR,0.9000,0.0434,0.2555
UCPR,0.9500,0.0434,0.2555
UCPR,1.0000,0.0434,0.2555
CAFE,0.0000,0.0477,0.2902
CAFE,0.0500,0.0409,0.5971
CAFE,0.1000,0.0336,0.7811
CAFE,0.1500,0.0307,0.8348
CAFE,0.2000,0.0298,0.8500
CAFE,0.2500,0.0296,0.8534
CAFE,0.3000,0.0295,0.8540
CAFE,0.3500,0.0295,0.8542
CAFE,0.4000,0.0295,0.8542
CAFE,0.4500,0.0295,0.8542
CAFE,0.5000,0.0295,0.8542
CAFE,0.5500,0.0295,0.8542
CAFE,0.6000,0.0295,0.8542
CAFE,0.6500,0.0295,0.8542
CAFE,0.7000,0.0295,0.8542
CAFE,0.7500,0.0295,0.8542
CAFE,0.8000,0.0295,0.8542
CAFE,0.8500,0.0295,0.8542
CAFE,0.9000,0.0295,0.8542
CAFE,0.9500,0.0295,0.8542
CAFE,1.0000,0.0295,0.8542
TPRec,0.0000,0.0409,0.2874
TPRec,0.0500,0.0407,0.4485
TPRec,0.1000,0.0386,0.5617
TPRec,0.1500,0.0363,0.6323
TPRec,0.2000,0.0346,0.6744
TPRec,0.2500,0.0335,0.6990
TPRec,0.3000,0.0329,0.7128
TPRec,0.3500,0.0327,0.7212
TPRec,0.4000,0.0326,0.7256
TPRec,0.4500,0.0325,0.7281
TPRec,0.5000,0.0324,0.7295
TPRec,0.5500,0.0324,0.7299
TPRec,0.6000,0.0324,0.7300
TPRec,0.6500,0.0324,0.7301
TPRec,0.7000,0.0324,0.7301
TPRec,0.7500,0.0324,0.7301
TPRec,0.8000,0.0324,0.7301
TPRec,0.8500,0.0324,0.7301
TPRec,0.9000,0.0324,0.7301
TPRec,0.9500,0.0324,0.7301
TPRec,1.0000,0.0324,0.7301
