model,alpha,hr,LIR
PGPR,0.0000,0.5113,0.4655
PGPR,0.0500,0.5144,0.7916
PGPR,0.1000,0.5180,0.8460
PGPR,0.1500,0.5151,0.8822
PGPR,0.2000,0.5071,0.9045
PGPR,0.2500,0.5023,0.9190
PGPR,0.3000,0.5000,0.9292
PGPR,0.3500,0.5007,0.9369
PGPR,0.4000,0.5002,0.9425
PGPR,0.4500,0.4942,0.9472
PGPR,0.5000,0.4887,0.9509
PGPR,0.5500,0.4859,0.9539
PGPR,0.6000,0.4826,0.9562
PGPR,0.6500,0.4805,0.9581
PGPR,0.7000,0.4767,0.9596
PGPR,0.7500,0.4755,0.9608
PGPR,0.8000,0.4733,0.9616
PGPR,0.8500,0.4709,0.9622
PGPR,0.9000,0.4672,0.9625
PGPR,0.9500,0.4632,0.9626
PGPR,1.0000,0.3495,0.9627
UCPR,0.0000,0.4158,0.4568
UCPR,0.0500,0.4142,0.6711
UCPR,0.1000,0.4145,0.6863
UCPR,0.1500,0.4137,0.6985
UCPR,0.2000,0.4103,0.7075
UCPR,0.2500,0.4072,0.7145
UCPR,0.3000,0.4031,0.7198
UCPR,0.3500,0.4041,0.7238
UCPR,0.4000,0.4028,0.7266
UCPR,0.4500,0.3994,0.7288
UCPR,0.5000,0.3968,0.7305
UCPR,0.5500,0.3948,0.7317
UCPR,0.6000,0.3935,0.7325
UCPR,0.6500,0.3927,0.7331
UCPR,0.7000,0.3914,0.7335
UCPR,0.7500,0.3909,0.7338
UCPR,0.8000,0.3909,0.7340
UCPR,0.8500,0.3893,0.7341
UCPR,0.9000,0.3885,0.7341
UCPR,0.9500,0.3880,0.7342
UCPR,1.0000,0.3867,0.7342
CAFE,0.0000,0.5543,0.3949
CAFE,0.0500,0.5439,0.4897
CAFE,0.1000,0.5179,0.5911
CAFE,0.1500,0.5038,0.6447
CAFE,0.2000,0.4894,0.6696
CAFE,0.2500,0.4796,0.6818
CAFE,0.3000,0.4692,0.6883
CAFE,0.3500,0.4662,0.6921
CAFE,0.4000,0.4618,0.6944
CAFE,0.4500,0.4593,0.6959
CAFE,0.5000,0.4561,0.6969
CAFE,0.5500,0.4531,0.6976
CAFE,0.6000,0.4522,0.6980
CAFE,0.6500,0.4507,0.6982
CAFE,0.7000,0.4502,0.6984
CAFE,0.7500,0.4498,0.6985
CAFE,0.8000,0.4505,0.6985
CAFE,0.8500,0.4503,0.6985
CAFE,0.9000,0.4507,0.6986
CAFE,0.9500,0.4503,0.6986
CAFE,1.0000,0.3389,0.6986
TPRec,0.0000,0.4744,0.4502
TPRec,0.0500,0.4827,0.7761
TPRec,0.1000,0.4923,0.8255
TPRec,0.1500,0.5009,0.8577
TPRec,0.2000,0.5064,0.8795
TPRec,0.2500,0.5094,0.8949
TPRec,0.3000,0.5115,0.9064
TPRec,0.3500,0.5120,0.9152
TPRec,0.4000,0.5102,0.9218
TPRec,0.4500,0.5108,0.9270
TPRec,0.5000,0.5099,0.9312
TPRec,0.5500,0.5077,0.9345
TPRec,0.6000,0.5054,0.9374
TPRec,0.6500,0.4989,0.9395
TPRec,0.7000,0.4949,0.9413
TPRec,0.7500,0.4910,0.9427
TPRec,0.8000,0.4878,0.9437
TPRec,0.8500,0.4850,0.9444
TPRec,0.9000,0.4822,0.9448
TPRec,0.9500,0.4792,0.9450
TPRec,1.0000,0.4249,0.9451
