model,alpha,ndcg,LIR
PGPR,0.0000,0.2968,0.4655
PGPR,0.0500,0.2985,0.7916
PGPR,0.1000,0.2995,0.8460
PGPR,0.1500,0.3001,0.8822
PGPR,0.2000,0.2961,0.9045
PGPR,0.2500,0.2944,0.9190
PGPR,0.3000,0.2948,0.9292
PGPR,0.3500,0.2969,0.9369
PGPR,0.4000,0.2965,0.9425
PGPR,0.4500,0.2932,0.9472
PGPR,0.5000,0.2903,0.9509
PGPR,0.5500,0.2890,0.9539
PGPR,0.6000,0.2883,0.9562
PGPR,0.6500,0.2873,0.9581
PGPR,0.7000,0.2856,0.9596
PGPR,0.7500,0.2842,0.9608
PGPR,0.8000,0.2824,0.9616
PGPR,0.8500,0.2829,0.9622
PGPR,0.9000,0.2807,0.9625
PGPR,0.9500,0.2782,0.9626
PGPR,1.0000,0.2284,0.9627
UCPR,0.0000,0.2520,0.4568
UCPR,0.0500,0.2509,0.6711
UCPR,0.1000,0.2515,0.6863
UCPR,0.1500,0.2509,0.6985
UCPR,0.2000,0.2495,0.7075
UCPR,0.2500,0.2483,0.7145
UCPR,0.3000,0.2470,0.7198
UCPR,0.3500,0.2475,0.7238
UCPR,0.4000,0.2473,0.7266
UCPR,0.4500,0.2457,0.7288
UCPR,0.5000,0.2452,0.7305
UCPR,0.5500,0.2441,0.7317
UCPR,0.6000,0.2436,0.7325
UCPR,0.6500,0.2434,0.7331
UCPR,0.7000,0.2425,0.7335
UCPR,0.7500,0.2426,0.7338
UCPR,0.8000,0.2426,0.7340
UCPR,0.8500,0.2417,0.7341
UCPR,0.9000,0.2414,0.7341
UCPR,0.9500,0.2414,0.7342
UCPR,1.0000,0.2405,0.7342
CAFE,0.0000,0.3229,0.3949
CAFE,0.0500,0.3194,0.4897
CAFE,0.1000,0.3047,0.5911
CAFE,0.1500,0.2944,0.6447
CAFE,0.2000,0.2849,0.6696
CAFE,0.2500,0.2790,0.6818
CAFE,0.3000,0.2718,0.6883
CAFE,0.3500,0.2699,0.6921
CAFE,0.4000,0.2666,0.6944
CAFE,0.4500,0.2645,0.6959
CAFE,0.5000,0.2617,0.6969
CAFE,0.5500,0.2593,0.6976
CAFE,0.6000,0.2575,0.6980
CAFE,0.6500,0.2566,0.6982
CAFE,0.7000,0.2566,0.6984
CAFE,0.7500,0.2560,0.6985
CAFE,0.8000,0.2562,0.6985
CAFE,0.8500,0.2557,0.6985
CAFE,0.9000,0.2559,0.6986
CAFE,0.9500,0.2557,0.6986
CAFE,1.0000,0.1834,0.6986
TPRec,0.0000,0.2631,0.4502
TPRec,0.0500,0.2658,0.7761
TPRec,0.1000,0.2678,0.8255
TPRec,0.1500,0.2713,0.8577
TPRec,0.2000,0.2743,0.8795
TPRec,0.2500,0.2767,0.8949
TPRec,0.3000,0.2791,0.9064
TPRec,0.3500,0.2804,0.9152
TPRec,0.4000,0.2816,0.9218
TPRec,0.4500,0.2840,0.9270
TPRec,0.5000,0.2847,0.9312
TPRec,0.5500,0.2851,0.9345
TPRec,0.6000,0.2853,0.9374
TPRec,0.6500,0.2837,0.9395
TPRec,0.7000,0.2831,0.9413
TPRec,0.7500,0.2828,0.9427
TPRec,0.8000,0.2821,0.9437
TPRec,0.8500,0.2820,0.9444
TPRec,0.9000,0.2819,0.9448
TPRec,0.9500,0.2812,0.9450
TPRec,1.0000,0.2693,0.9451
