model,alpha,precision,LIR
PGPR,0.0000,0.0929,0.4655
PGPR,0.0500,0.0930,0.7916
PGPR,0.1000,0.0930,0.8460
PGPR,0.1500,0.0914,0.8822
PGPR,0.2000,0.0893,0.9045
PGPR,0.2500,0.0876,0.9190
PGPR,0.3000,0.0866,0.9292
PGPR,0.3500,0.0863,0.9369
PGPR,0.4000,0.0853,0.9425
PGPR,0.4500,0.0838,0.9472
PGPR,0.5000,0.0821,0.9509
PGPR,0.5500,0.0810,0.9539
PGPR,0.6000,0.0800,0.9562
PGPR,0.6500,0.0790,0.9581
PGPR,0.7000,0.0781,0.9596
PGPR,0.7500,0.0771,0.9608
PGPR,0.8000,0.0757,0.9616
PGPR,0.8500,0.0746,0.9622
PGPR,0.9000,0.0737,0.9625
PGPR,0.9500,0.0728,0.9626
PGPR,1.0000,0.0510,0.9627
UCPR,0.0000,0.0617,0.4568
UCPR,0.0500,0.0619,0.6711
UCPR,0.1000,0.0617,0.6863
UCPR,0.1500,0.0617,0.6985
UCPR,0.2000,0.0609,0.7075
UCPR,0.2500,0.0602,0.7145
UCPR,0.3000,0.0596,0.7198
UCPR,0.3500,0.0592,0.7238
UCPR,0.4000,0.0589,0.7266
UCPR,0.4500,0.0582,0.7288
UCPR,0.5000,0.0576,0.7305
UCPR,0.5500,0.0571,0.7317
UCPR,0.6000,0.0569,0.7325
UCPR,0.6500,0.0566,0.7331
UCPR,0.7000,0.0564,0.7335
UCPR,0.7500,0.0562,0.7338
UCPR,0.8000,0.0561,0.7340
UCPR,0.8500,0.0559,0.7341
UCPR,0.9000,0.0557,0.7341
UCPR,0.9500,0.0556,0.7342
UCPR,1.0000,0.0551,0.7342
CAFE,0.0000,0.1071,0.3949
CAFE,0.0500,0.1037,0.4897
CAFE,0.1000,0.0945,0.5911
CAFE,0.1500,0.0887,0.6447
CAFE,0.2000,0.0847,0.6696
CAFE,0.2500,0.0822,0.6818
CAFE,0.3000,0.0800,0.6883
CAFE,0.3500,0.0788,0.6921
CAFE,0.4000,0.0778,0.6944
CAFE,0.4500,0.0770,0.6959
CAFE,0.5000,0.0760,0.6969
CAFE,0.5500,0.0752,0.6976
CAFE,0.6000,0.0750,0.6980
CAFE,0.6500,0.0745,0.6982
CAFE,0.7000,0.0744,0.6984
CAFE,0.7500,0.0742,0.6985
CAFE,0.8000,0.0740,0.6985
CAFE,0.8500,0.0739,0.6985
CAFE,0.9000,0.0739,0.6986
CAFE,0.9500,0.0738,0.6986
CAFE,1.0000,0.0535,0.6986
TPRec,0.0000,0.0896,0.4502
TPRec,0.0500,0.0910,0.7761
TPRec,0.1000,0.0919,0.8255
TPRec,0.1500,0.0923,0.8577
TPRec,0.2000,0.0918,0.8795
TPRec,0.2500,0.0910,0.8949
TPRec,0.3000,0.0905,0.9064
TPRec,0.3500,0.0897,0.9152
TPRec,0.4000,0.0881,0.9218
TPRec,0.4500,0.0873,0.9270
TPRec,0.5000,0.0863,0.9312
TPRec,0.5500,0.0849,0.9345
TPRec,0.6000,0.0833,0.9374
TPRec,0.6500,0.0817,0.9395
TPRec,0.7000,0.0803,0.9413
TPRec,0.7500,0.0788,0.9427
TPRec,0.8000,0.0776,0.9437
TPRec,0.8500,0.0765,0.9444
TPRec,0.9000,0.0755,0.9448
TPRec,0.9500,0.0745,0.9450
TPRec,1.0000,0.0627,0.9451
