model,alpha,hr,SEP
PGPR,0.0000,0.5113,0.4798
PGPR,0.0500,0.5058,0.7814
PGPR,0.1000,0.4997,0.8379
PGPR,0.1500,0.4977,0.8768
PGPR,0.2000,0.4957,0.9013
PGPR,0.2500,0.4952,0.9173
PGPR,0.3000,0.4902,0.9290
PGPR,0.3500,0.4839,0.9380
PGPR,0.4000,0.4778,0.9450
PGPR,0.4500,0.4705,0.9508
PGPR,0.5000,0.4671,0.9560
PGPR,0.5500,0.4646,0.9604
PGPR,0.6000,0.4560,0.9644
PGPR,0.6500,0.4502,0.9679
PGPR,0.7000,0.4417,0.9712
PGPR,0.7500,0.4295,0.9742
PGPR,0.8000,0.4210,0.9768
PGPR,0.8500,0.4031,0.9791
PGPR,0.9000,0.3825,0.9813
PGPR,0.9500,0.3548,0.9828
PGPR,1.0000,0.3260,0.9833
UCPR,0.0000,0.4158,0.4935
UCPR,0.0500,0.4155,0.6748
UCPR,0.1000,0.4134,0.6891
UCPR,0.1500,0.4111,0.7012
UCPR,0.2000,0.4093,0.7111
UCPR,0.2500,0.4129,0.7187
UCPR,0.3000,0.4062,0.7244
UCPR,0.3500,0.4046,0.7286
UCPR,0.4000,0.4010,0.7317
UCPR,0.4500,0.3981,0.7339
UCPR,0.5000,0.3966,0.7358
UCPR,0.5500,0.3940,0.7370
UCPR,0.6000,0.3898,0.7380
UCPR,0.6500,0.3885,0.7389
UCPR,0.7000,0.3872,0.7395
UCPR,0.7500,0.3852,0.7399
UCPR,0.8000,0.3828,0.7402
UCPR,0.8500,0.3831,0.7404
UCPR,0.9000,0.3815,0.7405
UCPR,0.9500,0.3813,0.7406
UCPR,1.0000,0.3795,0.7406
CAFE,0.0000,0.5543,0.4619
CAFE,0.0500,0.5434,0.7011
CAFE,0.1000,0.5220,0.8111
CAFE,0.1500,0.4881,0.8748
CAFE,0.2000,0.4565,0.9132
CAFE,0.2500,0.4308,0.9366
CAFE,0.3000,0.4161,0.9494
CAFE,0.3500,0.4081,0.9571
CAFE,0.4000,0.3985,0.9621
CAFE,0.4500,0.3884,0.9656
CAFE,0.5000,0.3821,0.9681
CAFE,0.5500,0.3730,0.9703
CAFE,0.6000,0.3647,0.9721
CAFE,0.6500,0.3555,0.9735
CAFE,0.7000,0.3465,0.9748
CAFE,0.7500,0.3387,0.9759
CAFE,0.8000,0.3258,0.9769
CAFE,0.8500,0.3139,0.9779
CAFE,0.9000,0.2975,0.9786
CAFE,0.9500,0.2879,0.9790
CAFE,1.0000,0.2786,0.9791
TPRec,0.0000,0.4744,0.4948
TPRec,0.0500,0.4791,0.7798
TPRec,0.1000,0.4844,0.8302
TPRec,0.1500,0.4915,0.8647
TPRec,0.2000,0.4954,0.8885
TPRec,0.2500,0.4961,0.9054
TPRec,0.3000,0.4961,0.9183
TPRec,0.3500,0.4918,0.9284
TPRec,0.4000,0.4925,0.9361
TPRec,0.4500,0.4872,0.9426
TPRec,0.5000,0.4809,0.9483
TPRec,0.5500,0.4756,0.9526
TPRec,0.6000,0.4706,0.9564
TPRec,0.6500,0.4643,0.9596
TPRec,0.7000,0.4560,0.9623
TPRec,0.7500,0.4449,0.9648
TPRec,0.8000,0.4330,0.9667
TPRec,0.8500,0.4221,0.9683
TPRec,0.9000,0.4123,0.9695
TPRec,0.9500,0.3979,0.9702
TPRec,1.0000,0.3840,0.9704
