model,alpha,ndcg,SEP
PGPR,0.0000,0.2968,0.4798
PGPR,0.0500,0.2948,0.7814
PGPR,0.1000,0.2924,0.8379
PGPR,0.1500,0.2919,0.8768
PGPR,0.2000,0.2919,0.9013
PGPR,0.2500,0.2934,0.9173
PGPR,0.3000,0.2919,0.9290
PGPR,0.3500,0.2881,0.9380
PGPR,0.4000,0.2847,0.9450
PGPR,0.4500,0.2812,0.9508
PGPR,0.5000,0.2802,0.9560
PGPR,0.5500,0.2790,0.9604
PGPR,0.6000,0.2763,0.9644
PGPR,0.6500,0.2758,0.9679
PGPR,0.7000,0.2732,0.9712
PGPR,0.7500,0.2672,0.9742
PGPR,0.8000,0.2643,0.9768
PGPR,0.8500,0.2565,0.9791
PGPR,0.9000,0.2483,0.9813
PGPR,0.9500,0.2346,0.9828
PGPR,1.0000,0.2199,0.9833
UCPR,0.0000,0.2520,0.4935
UCPR,0.0500,0.2518,0.6748
UCPR,0.1000,0.2509,0.6891
UCPR,0.1500,0.2508,0.7012
UCPR,0.2000,0.2507,0.7111
UCPR,0.2500,0.2525,0.7187
UCPR,0.3000,0.2490,0.7244
UCPR,0.3500,0.2484,0.7286
UCPR,0.4000,0.2475,0.7317
UCPR,0.4500,0.2457,0.7339
UCPR,0.5000,0.2445,0.7358
UCPR,0.5500,0.2435,0.7370
UCPR,0.6000,0.2409,0.7380
UCPR,0.6500,0.2414,0.7389
UCPR,0.7000,0.2414,0.7395
UCPR,0.7500,0.2399,0.7399
UCPR,0.8000,0.2391,0.7402
UCPR,0.8500,0.2390,0.7404
UCPR,0.9000,0.2380,0.7405
UCPR,0.9500,0.2383,0.7406
UCPR,1.0000,0.2385,0.7406
CAFE,0.0000,0.3229,0.4619
CAFE,0.0500,0.3199,0.7011
CAFE,0.1000,0.3046,0.8111
CAFE,0.1500,0.2854,0.8748
CAFE,0.2000,0.2707,0.9132
CAFE,0.2500,0.2548,0.9366
CAFE,0.3000,0.2457,0.9494
CAFE,0.3500,0.2403,0.9571
CAFE,0.4000,0.2328,0.9621
CAFE,0.4500,0.2258,0.9656
CAFE,0.5000,0.2209,0.9681
CAFE,0.5500,0.2147,0.9703
CAFE,0.6000,0.2092,0.9721
CAFE,0.6500,0.2045,0.9735
CAFE,0.7000,0.1995,0.9748
CAFE,0.7500,0.1956,0.9759
CAFE,0.8000,0.1885,0.9769
CAFE,0.8500,0.1828,0.9779
CAFE,0.9000,0.1759,0.9786
CAFE,0.9500,0.1712,0.9790
CAFE,1.0000,0.1659,0.9791
TPRec,0.0000,0.2631,0.4948
TPRec,0.0500,0.2643,0.7798
TPRec,0.1000,0.2664,0.8302
TPRec,0.1500,0.2696,0.8647
TPRec,0.2000,0.2715,0.8885
TPRec,0.2500,0.2724,0.9054
TPRec,0.3000,0.2732,0.9183
TPRec,0.3500,0.2739,0.9284
TPRec,0.4000,0.2762,0.9361
TPRec,0.4500,0.2756,0.9426
TPRec,0.5000,0.2743,0.9483
TPRec,0.5500,0.2735,0.9526
TPRec,0.6000,0.2738,0.9564
TPRec,0.6500,0.2734,0.9596
TPRec,0.7000,0.2719,0.9623
TPRec,0.7500,0.2692,0.9648
TPRec,0.8000,0.2661,0.9667
TPRec,0.8500,0.2638,0.9683
TPRec,0.9000,0.2623,0.9695
TPRec,0.9500,0.2575,0.9702
TPRec,1.0000,0.2535,0.9704
