model,alpha,ndcg,LIR
PGPR,0.0000,0.1019,0.4655
PGPR,0.0500,0.1021,0.7916
PGPR,0.1000,0.1021,0.8460
PGPR,0.1500,0.1010,0.8822
PGPR,0.2000,0.0988,0.9045
PGPR,0.2500,0.0972,0.9190
PGPR,0.3000,0.0964,0.9292
PGPR,0.3500,0.0963,0.9369
PGPR,0.4000,0.0954,0.9425
PGPR,0.4500,0.0940,0.9472
PGPR,0.5000,0.0925,0.9509
PGPR,0.5500,0.0912,0.9539
PGPR,0.6000,0.0904,0.9562
PGPR,0.6500,0.0895,0.9581
PGPR,0.7000,0.0886,0.9596
PGPR,0.7500,0.0875,0.9608
PGPR,0.8000,0.0861,0.9616
PGPR,0.8500,0.0855,0.9622
PGPR,0.9000,0.0845,0.9625
PGPR,0.9500,0.0837,0.9626
PGPR,1.0000,0.0619,0.9627
UCPR,0.0000,0.0862,0.4568
UCPR,0.0500,0.0863,0.6711
UCPR,0.1000,0.0863,0.6863
UCPR,0.1500,0.0863,0.6985
UCPR,0.2000,0.0859,0.7075
UCPR,0.2500,0.0853,0.7145
UCPR,0.3000,0.0851,0.7198
UCPR,0.3500,0.0849,0.7238
UCPR,0.4000,0.0848,0.7266
UCPR,0.4500,0.0845,0.7288
UCPR,0.5000,0.0842,0.7305
UCPR,0.5500,0.0839,0.7317
UCPR,0.6000,0.0838,0.7325
UCPR,0.6500,0.0836,0.7331
UCPR,0.7000,0.0835,0.7335
UCPR,0.7500,0.0834,0.7338
UCPR,0.8000,0.0834,0.7340
UCPR,0.8500,0.0833,0.7341
UCPR,0.9000,0.0832,0.7341
UCPR,0.9500,0.0832,0.7342
UCPR,1.0000,0.0829,0.7342
CAFE,0.0000,0.1167,0.3949
CAFE,0.0500,0.1140,0.4897
CAFE,0.1000,0.1040,0.5911
CAFE,0.1500,0.0974,0.6447
CAFE,0.2000,0.0927,0.6696
CAFE,0.2500,0.0898,0.6818
CAFE,0.3000,0.0873,0.6883
CAFE,0.3500,0.0860,0.6921
CAFE,0.4000,0.0848,0.6944
CAFE,0.4500,0.0839,0.6959
CAFE,0.5000,0.0827,0.6969
CAFE,0.5500,0.0818,0.6976
CAFE,0.6000,0.0814,0.6980
CAFE,0.6500,0.0807,0.6982
CAFE,0.7000,0.0806,0.6984
CAFE,0.7500,0.0803,0.6985
CAFE,0.8000,0.0801,0.6985
CAFE,0.8500,0.0800,0.6985
CAFE,0.9000,0.0799,0.6986
CAFE,0.9500,0.0798,0.6986
CAFE,1.0000,0.0555,0.6986
TPRec,0.0000,0.0942,0.4502
TPRec,0.0500,0.0952,0.7761
TPRec,0.1000,0.0957,0.8255
TPRec,0.1500,0.0963,0.8577
TPRec,0.2000,0.0960,0.8795
TPRec,0.2500,0.0956,0.8949
TPRec,0.3000,0.0956,0.9064
TPRec,0.3500,0.0950,0.9152
TPRec,0.4000,0.0941,0.9218
TPRec,0.4500,0.0937,0.9270
TPRec,0.5000,0.0931,0.9312
TPRec,0.5500,0.0921,0.9345
TPRec,0.6000,0.0908,0.9374
TPRec,0.6500,0.0897,0.9395
TPRec,0.7000,0.0888,0.9413
TPRec,0.7500,0.0877,0.9427
TPRec,0.8000,0.0870,0.9437
TPRec,0.8500,0.0861,0.9444
TPRec,0.9000,0.0856,0.9448
TPRec,0.9500,0.0848,0.9450
TPRec,1.0000,0.0754,0.9451
KGGLM,0.0000,0.0336,0.3161
KGGLM,0.0500,0.0336,0.3161
KGGLM,0.1000,0.0336,0.3161
KGGLM,0.1500,0.0336,0.3161
KGGLM,0.2000,0.0336,0.3161
KGGLM,0.2500,0.0336,0.3161
KGGLM,0.3000,0.0336,0.3161
KGGLM,0.3500,0.0336,0.3161
KGGLM,0.4000,0.0336,0.3161
KGGLM,0.4500,0.0336,0.3161
KGGLM,0.5000,0.0336,0.3161
KGGLM,0.5500,0.0336,0.3161
KGGLM,0.6000,0.0336,0.3161
KGGLM,0.6500,0.0336,0.3161
KGGLM,0.7000,0.0336,0.3161
KGGLM,0.7500,0.0336,0.3161
KGGLM,0.8000,0.0336,0.3161
KGGLM,0.8500,0.0336,0.3161
KGGLM,0.9000,0.0336,0.3161
KGGLM,0.9500,0.0336,0.3161
KGGLM,1.0000,0.0336,0.3161
PEARLM,0.0000,0.0353,0.4225
PEARLM,0.0500,0.0353,0.4255
PEARLM,0.1000,0.0354,0.4263
PEARLM,0.1500,0.0354,0.4265
PEARLM,0.2000,0.0354,0.4266
PEARLM,0.2500,0.0354,0.4267
PEARLM,0.3000,0.0354,0.4268
PEARLM,0.3500,0.0354,0.4268
PEARLM,0.4000,0.0354,0.4270
PEARLM,0.4500,0.0354,0.4270
PEARLM,0.5000,0.0354,0.4271
PEARLM,0.5500,0.0354,0.4271
PEARLM,0.6000,0.0354,0.4271
PEARLM,0.6500,0.0354,0.4271
PEARLM,0.7000,0.0354,0.4272
PEARLM,0.7500,0.0354,0.4272
PEARLM,0.8000,0.0354,0.4272
PEARLM,0.8500,0.0354,0.4272
PEARLM,0.9000,0.0354,0.4272
PEARLM,0.9500,0.0354,0.4272
PEARLM,1.0000,0.0354,0.4272
