model,alpha,precision,LIR
PGPR,0.0000,0.0929,0.4655
PGPR,0.0500,0.0930,0.7916
PGPR,0.1000,0.0930,0.8460
PGPR,0.1500,0.0914,0.8822
PGPR,0.2000,0.0893,0.9045
PGPR,0.2500,0.0876,0.9190
PGPR,0.3000,0.0866,0.9292
PGPR,0.3500,0.0863,0.9369
PGPR,0.4000,0.0853,0.9425
PGPR,0.4500,0.0838,0.9472
PGPR,0.5000,0.0821,0.9509
PGPR,0.5500,0.0810,0.9539
PGPR,0.6000,0.0800,0.9562
PGPR,0.6500,0.0790,0.9581
PGPR,0.7000,0.0781,0.9596
PGPR,0.7500,0.0771,0.9608
PGPR,0.8000,0.0757,0.9616
PGPR,0.8500,0.0746,0.9622
PGPR,0.9000,0.0737,0.9625
PGPR,0.9500,0.0728,0.9626
PGPR,1.0000,0.0510,0.9627
UCPR,0.0000,0.0664,0.4568
UCPR,0.0500,0.0665,0.6711
UCPR,0.1000,0.0664,0.6863
UCPR,0.1500,0.0664,0.6985
UCPR,0.2000,0.0658,0.7075
UCPR,0.2500,0.0654,0.7145
UCPR,0.3000,0.0650,0.7198
UCPR,0.3500,0.0648,0.7238
UCPR,0.4000,0.0646,0.7266
UCPR,0.4500,0.0642,0.7288
UCPR,0.5000,0.0637,0.7305
UCPR,0.5500,0.0634,0.7317
UCPR,0.6000,0.0633,0.7325
UCPR,0.6500,0.0631,0.7331
UCPR,0.7000,0.0630,0.7335
UCPR,0.7500,0.0628,0.7338
UCPR,0.8000,0.0628,0.7340
UCPR,0.8500,0.0626,0.7341
UCPR,0.9000,0.0625,0.7341
UCPR,0.9500,0.0625,0.7342
UCPR,1.0000,0.0622,0.7342
CAFE,0.0000,0.1071,0.3949
CAFE,0.0500,0.1037,0.4897
CAFE,0.1000,0.0945,0.5911
CAFE,0.1500,0.0887,0.6447
CAFE,0.2000,0.0847,0.6696
CAFE,0.2500,0.0822,0.6818
CAFE,0.3000,0.0800,0.6883
CAFE,0.3500,0.0788,0.6921
CAFE,0.4000,0.0778,0.6944
CAFE,0.4500,0.0770,0.6959
CAFE,0.5000,0.0760,0.6969
CAFE,0.5500,0.0752,0.6976
CAFE,0.6000,0.0750,0.6980
CAFE,0.6500,0.0745,0.6982
CAFE,0.7000,0.0744,0.6984
CAFE,0.7500,0.0742,0.6985
CAFE,0.8000,0.0740,0.6985
CAFE,0.8500,0.0739,0.6985
CAFE,0.9000,0.0739,0.6986
CAFE,0.9500,0.0738,0.6986
CAFE,1.0000,0.0535,0.6986
TPRec,0.0000,0.0897,0.4502
TPRec,0.0500,0.0911,0.7761
TPRec,0.1000,0.0919,0.8255
TPRec,0.1500,0.0923,0.8577
TPRec,0.2000,0.0918,0.8795
TPRec,0.2500,0.0911,0.8949
TPRec,0.3000,0.0906,0.9064
TPRec,0.3500,0.0897,0.9152
TPRec,0.4000,0.0882,0.9218
TPRec,0.4500,0.0873,0.9270
TPRec,0.5000,0.0864,0.9312
TPRec,0.5500,0.0850,0.9345
TPRec,0.6000,0.0834,0.9374
TPRec,0.6500,0.0818,0.9395
TPRec,0.7000,0.0804,0.9413
TPRec,0.7500,0.0788,0.9427
TPRec,0.8000,0.0777,0.9437
TPRec,0.8500,0.0765,0.9444
TPRec,0.9000,0.0756,0.9448
TPRec,0.9500,0.0745,0.9450
TPRec,1.0000,0.0628,0.9451
KGGLM,0.0000,0.0193,0.3161
KGGLM,0.0500,0.0193,0.3161
KGGLM,0.1000,0.0193,0.3161
KGGLM,0.1500,0.0193,0.3161
KGGLM,0.2000,0.0193,0.3161
KGGLM,0.2500,0.0193,0.3161
KGGLM,0.3000,0.0193,0.3161
KGGLM,0.3500,0.0193,0.3161
KGGLM,0.4000,0.0193,0.3161
KGGLM,0.4500,0.0193,0.3161
KGGLM,0.5000,0.0193,0.3161
KGGLM,0.5500,0.0193,0.3161
KGGLM,0.6000,0.0193,0.3161
KGGLM,0.6500,0.0193,0.3161
KGGLM,0.7000,0.0193,0.3161
KGGLM,0.7500,0.0193,0.3161
KGGLM,0.8000,0.0193,0.3161
KGGLM,0.8500,0.0193,0.3161
KGGLM,0.9000,0.0193,0.3161
KGGLM,0.9500,0.0193,0.3161
KGGLM,1.0000,0.0193,0.3161
PEARLM,0.0000,0.0271,0.4225
PEARLM,0.0500,0.0272,0.4255
PEARLM,0.1000,0.0272,0.4263
PEARLM,0.1500,0.0272,0.4265
PEARLM,0.2000,0.0272,0.4266
PEARLM,0.2500,0.0272,0.4267
PEARLM,0.3000,0.0272,0.4268
PEARLM,0.3500,0.0273,0.4268
PEARLM,0.4000,0.0273,0.4270
PEARLM,0.4500,0.0273,0.4270
PEARLM,0.5000,0.0273,0.4271
PEARLM,0.5500,0.0273,0.4271
PEARLM,0.6000,0.0273,0.4271
PEARLM,0.6500,0.0273,0.4271
PEARLM,0.7000,0.0273,0.4272
PEARLM,0.7500,0.0273,0.4272
PEARLM,0.8000,0.0273,0.4272
PEARLM,0.8500,0.0273,0.4272
PEARLM,0.9000,0.0273,0.4272
PEARLM,0.9500,0.0273,0.4272
PEARLM,1.0000,0.0273,0.4272
