model,alpha,recall,LIR
PGPR,0.0000,0.0423,0.4655
PGPR,0.0500,0.0426,0.7916
PGPR,0.1000,0.0426,0.8460
PGPR,0.1500,0.0418,0.8822
PGPR,0.2000,0.0406,0.9045
PGPR,0.2500,0.0398,0.9190
PGPR,0.3000,0.0395,0.9292
PGPR,0.3500,0.0394,0.9369
PGPR,0.4000,0.0390,0.9425
PGPR,0.4500,0.0383,0.9472
PGPR,0.5000,0.0375,0.9509
PGPR,0.5500,0.0371,0.9539
PGPR,0.6000,0.0370,0.9562
PGPR,0.6500,0.0366,0.9581
PGPR,0.7000,0.0361,0.9596
PGPR,0.7500,0.0358,0.9608
PGPR,0.8000,0.0353,0.9616
PGPR,0.8500,0.0350,0.9622
PGPR,0.9000,0.0347,0.9625
PGPR,0.9500,0.0345,0.9626
PGPR,1.0000,0.0205,0.9627
UCPR,0.0000,0.0379,0.4568
UCPR,0.0500,0.0381,0.6711
UCPR,0.1000,0.0381,0.6863
UCPR,0.1500,0.0382,0.6985
UCPR,0.2000,0.0379,0.7075
UCPR,0.2500,0.0374,0.7145
UCPR,0.3000,0.0372,0.7198
UCPR,0.3500,0.0370,0.7238
UCPR,0.4000,0.0368,0.7266
UCPR,0.4500,0.0364,0.7288
UCPR,0.5000,0.0361,0.7305
UCPR,0.5500,0.0359,0.7317
UCPR,0.6000,0.0358,0.7325
UCPR,0.6500,0.0356,0.7331
UCPR,0.7000,0.0354,0.7335
UCPR,0.7500,0.0353,0.7338
UCPR,0.8000,0.0353,0.7340
UCPR,0.8500,0.0351,0.7341
UCPR,0.9000,0.0351,0.7341
UCPR,0.9500,0.0350,0.7342
UCPR,1.0000,0.0348,0.7342
CAFE,0.0000,0.0520,0.3949
CAFE,0.0500,0.0504,0.4897
CAFE,0.1000,0.0454,0.5911
CAFE,0.1500,0.0425,0.6447
CAFE,0.2000,0.0398,0.6696
CAFE,0.2500,0.0382,0.6818
CAFE,0.3000,0.0367,0.6883
CAFE,0.3500,0.0361,0.6921
CAFE,0.4000,0.0354,0.6944
CAFE,0.4500,0.0348,0.6959
CAFE,0.5000,0.0343,0.6969
CAFE,0.5500,0.0339,0.6976
CAFE,0.6000,0.0337,0.6980
CAFE,0.6500,0.0335,0.6982
CAFE,0.7000,0.0334,0.6984
CAFE,0.7500,0.0333,0.6985
CAFE,0.8000,0.0333,0.6985
CAFE,0.8500,0.0332,0.6985
CAFE,0.9000,0.0332,0.6986
CAFE,0.9500,0.0332,0.6986
CAFE,1.0000,0.0221,0.6986
TPRec,0.0000,0.0438,0.4502
TPRec,0.0500,0.0446,0.7761
TPRec,0.1000,0.0452,0.8255
TPRec,0.1500,0.0456,0.8577
TPRec,0.2000,0.0455,0.8795
TPRec,0.2500,0.0454,0.8949
TPRec,0.3000,0.0453,0.9064
TPRec,0.3500,0.0451,0.9152
TPRec,0.4000,0.0446,0.9218
TPRec,0.4500,0.0439,0.9270
TPRec,0.5000,0.0433,0.9312
TPRec,0.5500,0.0428,0.9345
TPRec,0.6000,0.0421,0.9374
TPRec,0.6500,0.0413,0.9395
TPRec,0.7000,0.0408,0.9413
TPRec,0.7500,0.0401,0.9427
TPRec,0.8000,0.0397,0.9437
TPRec,0.8500,0.0394,0.9444
TPRec,0.9000,0.0392,0.9448
TPRec,0.9500,0.0390,0.9450
TPRec,1.0000,0.0293,0.9451
KGGLM,0.0000,0.0105,0.3161
KGGLM,0.0500,0.0105,0.3161
KGGLM,0.1000,0.0105,0.3161
KGGLM,0.1500,0.0105,0.3161
KGGLM,0.2000,0.0105,0.3161
KGGLM,0.2500,0.0105,0.3161
KGGLM,0.3000,0.0105,0.3161
KGGLM,0.3500,0.0105,0.3161
KGGLM,0.4000,0.0105,0.3161
KGGLM,0.4500,0.0105,0.3161
KGGLM,0.5000,0.0105,0.3161
KGGLM,0.5500,0.0105,0.3161
KGGLM,0.6000,0.0105,0.3161
KGGLM,0.6500,0.0105,0.3161
KGGLM,0.7000,0.0105,0.3161
KGGLM,0.7500,0.0105,0.3161
KGGLM,0.8000,0.0105,0.3161
KGGLM,0.8500,0.0105,0.3161
KGGLM,0.9000,0.0105,0.3161
KGGLM,0.9500,0.0105,0.3161
KGGLM,1.0000,0.0105,0.3161
PEARLM,0.0000,0.0110,0.4225
PEARLM,0.0500,0.0111,0.4255
PEARLM,0.1000,0.0111,0.4263
PEARLM,0.1500,0.0111,0.4265
PEARLM,0.2000,0.0111,0.4266
PEARLM,0.2500,0.0111,0.4267
PEARLM,0.3000,0.0111,0.4268
PEARLM,0.3500,0.0111,0.4268
PEARLM,0.4000,0.0111,0.4270
PEARLM,0.4500,0.0111,0.4270
PEARLM,0.5000,0.0111,0.4271
PEARLM,0.5500,0.0111,0.4271
PEARLM,0.6000,0.0111,0.4271
PEARLM,0.6500,0.0111,0.4271
PEARLM,0.7000,0.0111,0.4272
PEARLM,0.7500,0.0111,0.4272
PEARLM,0.8000,0.0111,0.4272
PEARLM,0.8500,0.0111,0.4272
PEARLM,0.9000,0.0111,0.4272
PEARLM,0.9500,0.0111,0.4272
PEARLM,1.0000,0.0111,0.4272
