model,alpha,ndcg,SEP
PGPR,0.0000,0.1019,0.4798
PGPR,0.0500,0.1013,0.7814
PGPR,0.1000,0.0996,0.8379
PGPR,0.1500,0.0984,0.8768
PGPR,0.2000,0.0967,0.9013
PGPR,0.2500,0.0955,0.9173
PGPR,0.3000,0.0939,0.9290
PGPR,0.3500,0.0917,0.9380
PGPR,0.4000,0.0896,0.9450
PGPR,0.4500,0.0883,0.9508
PGPR,0.5000,0.0867,0.9560
PGPR,0.5500,0.0856,0.9604
PGPR,0.6000,0.0843,0.9644
PGPR,0.6500,0.0826,0.9679
PGPR,0.7000,0.0807,0.9712
PGPR,0.7500,0.0776,0.9742
PGPR,0.8000,0.0754,0.9768
PGPR,0.8500,0.0718,0.9791
PGPR,0.9000,0.0674,0.9813
PGPR,0.9500,0.0629,0.9828
PGPR,1.0000,0.0579,0.9833
UCPR,0.0000,0.0862,0.4935
UCPR,0.0500,0.0863,0.6748
UCPR,0.1000,0.0862,0.6891
UCPR,0.1500,0.0859,0.7012
UCPR,0.2000,0.0858,0.7111
UCPR,0.2500,0.0859,0.7187
UCPR,0.3000,0.0854,0.7244
UCPR,0.3500,0.0852,0.7286
UCPR,0.4000,0.0849,0.7317
UCPR,0.4500,0.0845,0.7339
UCPR,0.5000,0.0842,0.7358
UCPR,0.5500,0.0838,0.7370
UCPR,0.6000,0.0833,0.7380
UCPR,0.6500,0.0833,0.7389
UCPR,0.7000,0.0832,0.7395
UCPR,0.7500,0.0830,0.7399
UCPR,0.8000,0.0827,0.7402
UCPR,0.8500,0.0827,0.7404
UCPR,0.9000,0.0824,0.7405
UCPR,0.9500,0.0824,0.7406
UCPR,1.0000,0.0825,0.7406
CAFE,0.0000,0.1167,0.4619
CAFE,0.0500,0.1112,0.7011
CAFE,0.1000,0.1033,0.8111
CAFE,0.1500,0.0927,0.8748
CAFE,0.2000,0.0833,0.9132
CAFE,0.2500,0.0758,0.9366
CAFE,0.3000,0.0723,0.9494
CAFE,0.3500,0.0692,0.9571
CAFE,0.4000,0.0665,0.9621
CAFE,0.4500,0.0641,0.9656
CAFE,0.5000,0.0624,0.9681
CAFE,0.5500,0.0602,0.9703
CAFE,0.6000,0.0582,0.9721
CAFE,0.6500,0.0565,0.9735
CAFE,0.7000,0.0549,0.9748
CAFE,0.7500,0.0531,0.9759
CAFE,0.8000,0.0506,0.9769
CAFE,0.8500,0.0485,0.9779
CAFE,0.9000,0.0461,0.9786
CAFE,0.9500,0.0443,0.9790
CAFE,1.0000,0.0426,0.9791
TPRec,0.0000,0.0942,0.4948
TPRec,0.0500,0.0943,0.7798
TPRec,0.1000,0.0943,0.8302
TPRec,0.1500,0.0942,0.8647
TPRec,0.2000,0.0935,0.8885
TPRec,0.2500,0.0927,0.9054
TPRec,0.3000,0.0914,0.9183
TPRec,0.3500,0.0905,0.9284
TPRec,0.4000,0.0895,0.9361
TPRec,0.4500,0.0882,0.9426
TPRec,0.5000,0.0871,0.9483
TPRec,0.5500,0.0857,0.9526
TPRec,0.6000,0.0846,0.9564
TPRec,0.6500,0.0834,0.9596
TPRec,0.7000,0.0816,0.9623
TPRec,0.7500,0.0795,0.9648
TPRec,0.8000,0.0772,0.9667
TPRec,0.8500,0.0747,0.9683
TPRec,0.9000,0.0729,0.9695
TPRec,0.9500,0.0703,0.9702
TPRec,1.0000,0.0680,0.9704
KGGLM,0.0000,0.0336,0.4791
KGGLM,0.0500,0.0336,0.4791
KGGLM,0.1000,0.0336,0.4791
KGGLM,0.1500,0.0336,0.4791
KGGLM,0.2000,0.0336,0.4791
KGGLM,0.2500,0.0336,0.4791
KGGLM,0.3000,0.0336,0.4791
KGGLM,0.3500,0.0336,0.4791
KGGLM,0.4000,0.0336,0.4791
KGGLM,0.4500,0.0336,0.4791
KGGLM,0.5000,0.0336,0.4791
KGGLM,0.5500,0.0336,0.4791
KGGLM,0.6000,0.0336,0.4791
KGGLM,0.6500,0.0336,0.4791
KGGLM,0.7000,0.0336,0.4791
KGGLM,0.7500,0.0336,0.4791
KGGLM,0.8000,0.0336,0.4791
KGGLM,0.8500,0.0336,0.4791
KGGLM,0.9000,0.0336,0.4791
KGGLM,0.9500,0.0336,0.4791
KGGLM,1.0000,0.0336,0.4791
PEARLM,0.0000,0.0353,0.5094
PEARLM,0.0500,0.0353,0.5233
PEARLM,0.1000,0.0352,0.5247
PEARLM,0.1500,0.0351,0.5252
PEARLM,0.2000,0.0352,0.5256
PEARLM,0.2500,0.0351,0.5259
PEARLM,0.3000,0.0352,0.5260
PEARLM,0.3500,0.0352,0.5262
PEARLM,0.4000,0.0352,0.5263
PEARLM,0.4500,0.0352,0.5264
PEARLM,0.5000,0.0351,0.5264
PEARLM,0.5500,0.0352,0.5265
PEARLM,0.6000,0.0352,0.5265
PEARLM,0.6500,0.0352,0.5266
PEARLM,0.7000,0.0352,0.5266
PEARLM,0.7500,0.0352,0.5266
PEARLM,0.8000,0.0352,0.5266
PEARLM,0.8500,0.0352,0.5266
PEARLM,0.9000,0.0352,0.5266
PEARLM,0.9500,0.0352,0.5266
PEARLM,1.0000,0.0352,0.5266
