alpha,ndcg,hr,precision,recall,ETD
0.0000,0.1151,0.1799,0.0258,0.0089,0.1204
0.0500,0.1153,0.1807,0.0258,0.0089,0.1530
0.1000,0.1152,0.1814,0.0258,0.0091,0.1785
0.1500,0.1150,0.1828,0.0257,0.0092,0.2114
0.2000,0.1148,0.1831,0.0255,0.0091,0.2424
0.2500,0.1146,0.1825,0.0253,0.0091,0.2664
0.3000,0.1143,0.1814,0.0250,0.0091,0.2867
0.3500,0.1138,0.1801,0.0247,0.0091,0.3067
0.4000,0.1133,0.1783,0.0243,0.0090,0.3266
0.4500,0.1125,0.1758,0.0238,0.0088,0.3435
0.5000,0.1117,0.1738,0.0235,0.0087,0.3534
0.5500,0.1112,0.1731,0.0234,0.0087,0.3575
0.6000,0.1110,0.1728,0.0234,0.0087,0.3587
0.6500,0.1110,0.1728,0.0234,0.0087,0.3589
0.7000,0.1110,0.1728,0.0234,0.0087,0.3590
0.7500,0.1110,0.1728,0.0234,0.0087,0.3590
0.8000,0.1110,0.1728,0.0234,0.0087,0.3590
0.8500,0.1110,0.1728,0.0234,0.0087,0.3590
0.9000,0.1110,0.1728,0.0234,0.0087,0.3590
0.9500,0.1110,0.1728,0.0234,0.0087,0.3590
1.0000,0.1110,0.1728,0.0234,0.0087,0.3590
