alpha,ndcg,hr,precision,recall,LIR
0.0000,0.1215,0.1980,0.0295,0.0107,0.0857
0.0500,0.1217,0.1982,0.0295,0.0107,0.1537
0.1000,0.1212,0.1969,0.0292,0.0106,0.1556
0.1500,0.1204,0.1952,0.0289,0.0104,0.1567
0.2000,0.1190,0.1930,0.0284,0.0102,0.1577
0.2500,0.1187,0.1920,0.0282,0.0101,0.1583
0.3000,0.1183,0.1911,0.0281,0.0101,0.1589
0.3500,0.1173,0.1899,0.0279,0.0100,0.1593
0.4000,0.1171,0.1895,0.0278,0.0100,0.1596
0.4500,0.1170,0.1893,0.0277,0.0100,0.1598
0.5000,0.1168,0.1888,0.0276,0.0100,0.1600
0.5500,0.1167,0.1886,0.0276,0.0100,0.1601
0.6000,0.1166,0.1884,0.0276,0.0100,0.1602
0.6500,0.1166,0.1881,0.0275,0.0100,0.1603
0.7000,0.1163,0.1877,0.0275,0.0099,0.1603
0.7500,0.1161,0.1873,0.0274,0.0099,0.1604
0.8000,0.1159,0.1869,0.0274,0.0099,0.1604
0.8500,0.1158,0.1867,0.0273,0.0099,0.1605
0.9000,0.1156,0.1864,0.0273,0.0099,0.1605
0.9500,0.1153,0.1858,0.0272,0.0099,0.1605
1.0000,0.0664,0.0911,0.0110,0.0048,0.1605
