alpha,ndcg,hr,precision,recall,SEP
0.0000,0.1215,0.1980,0.0295,0.0107,0.7375
0.0500,0.1202,0.1940,0.0291,0.0105,0.8437
0.1000,0.1192,0.1909,0.0287,0.0103,0.8644
0.1500,0.1173,0.1848,0.0279,0.0099,0.8835
0.2000,0.1154,0.1799,0.0272,0.0096,0.9013
0.2500,0.1129,0.1745,0.0261,0.0090,0.9172
0.3000,0.1086,0.1673,0.0251,0.0087,0.9303
0.3500,0.1044,0.1607,0.0240,0.0081,0.9412
0.4000,0.1012,0.1545,0.0232,0.0078,0.9500
0.4500,0.0979,0.1481,0.0221,0.0073,0.9573
0.5000,0.0948,0.1430,0.0213,0.0070,0.9634
0.5500,0.0919,0.1377,0.0205,0.0067,0.9689
0.6000,0.0888,0.1326,0.0194,0.0063,0.9739
0.6500,0.0849,0.1263,0.0183,0.0057,0.9785
0.7000,0.0798,0.1188,0.0170,0.0053,0.9826
0.7500,0.0751,0.1114,0.0158,0.0049,0.9859
0.8000,0.0696,0.1022,0.0144,0.0044,0.9885
0.8500,0.0658,0.0955,0.0133,0.0041,0.9909
0.9000,0.0629,0.0893,0.0121,0.0038,0.9930
0.9500,0.0540,0.0735,0.0095,0.0031,0.9951
1.0000,0.0377,0.0503,0.0062,0.0022,0.9961
