dataset,model,role,module,optimized_metric,alpha,ndcg,hr,precision,recall,LIR,SEP,ETD,ndcg_delta_pct,hr_delta_pct,precision_delta_pct,recall_delta_pct,LIR_delta_pct,SEP_delta_pct,ETD_delta_pct,sweep_protocol,ndcg_scope
LastFM,PGPR,main,Original recommender,none,0.0,0.03090466256434531,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0006364892269594961,0.5688205015801188,0.1600851193190312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,Recommender + proposed explanation/path module,LIR,1.0,0.030886867203333872,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.057581476498525255,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,Recommender + proposed explanation/path module,SEP,1.0,0.02764594652558435,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0005548495942232323,0.7682648159865161,0.1655722754217834,-10.544415529456506,0.0,0.0,0.0,-12.82655373858496,35.0627858616846,3.4276490695034223,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,Recommender + proposed explanation/path module,ETD,1.0,0.03055083395549164,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0006423863550116694,0.570954174185887,0.16564067487458797,-1.1449036471987926,0.0,0.0,0.0,0.9265086984023004,0.3751047298473146,3.470375996962718,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,Original recommender,none,0.0,0.037376792696135475,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.000578547124921134,0.5169831079152846,0.12117343061253281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,Recommender + proposed explanation/path module,LIR,1.0,0.037361078755356485,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0013003527309019098,0.5169744485209481,0.12118103055173331,-0.042041972158340615,0.0,0.0,0.0,124.7617652717867,-0.001674985933562322,0.006271951831415859,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,Recommender + proposed explanation/path module,SEP,1.0,0.03713827979909411,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005253239870752516,0.7294758812723643,0.14298525611792834,-0.6381309894094491,0.0,0.0,0.0,-9.199447297078462,41.10245965558701,18.00050175614947,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,UCPR,auxiliary,Recommender + proposed explanation/path module,ETD,1.0,0.037340081006040464,0.21641586867305063,0.03112859097127305,0.02315481692625321,0.0005775268691413103,0.5267838582860119,0.14227086183308185,-0.09822054661957778,0.0,0.0,0.0,-0.17634791287965307,1.895758337298201,17.41093828399619,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,Original recommender,none,0.0,0.10189633102321971,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.46201790095433554,0.4797962841285518,0.16263245033113824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,Recommender + proposed explanation/path module,LIR,1.0,0.09864022114434051,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-3.195512386149811,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
