dataset,model,role,module_target,selected_alpha,selection_rule,ndcg_retention_pct,explanation_gain_pct,sweep_ndcg,explanation_metric_value,ndcg_scope,recommended_use
LastFM,PGPR,main,LIR,1.0,max explanation gain with NDCG retention >= 95%,99.94241852350147,502.1737281916887,0.030886867203333872,0.0038327709075204565,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
LastFM,PGPR,main,SEP,0.75,max explanation gain with NDCG retention >= 95%,95.12533360322276,35.0627858616846,0.029398163363283773,0.7682648159865161,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
LastFM,PGPR,main,ETD,1.0,max explanation gain with NDCG retention >= 95%,98.85509635280121,3.470375996962718,0.03055083395549164,0.16564067487458797,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
LastFM,UCPR,auxiliary,LIR,1.0,max explanation gain with NDCG retention >= 95%,99.95795802784167,124.7617652717867,0.037361078755356485,0.0013003527309019098,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
LastFM,UCPR,auxiliary,SEP,0.9,max explanation gain with NDCG retention >= 95%,101.10176774608024,41.10245965558706,0.037788598142580766,0.7294758812723645,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
LastFM,UCPR,auxiliary,ETD,1.0,max explanation gain with NDCG retention >= 95%,99.90177945338043,17.41093828399619,0.037340081006040464,0.14227086183308185,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
ML-1M,PGPR,main,LIR,0.55,max explanation gain with NDCG retention >= 95%,99.07457875982178,56.30628040894491,0.10095336073296853,0.722162995805205,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
ML-1M,PGPR,main,SEP,0.95,max explanation gain with NDCG retention >= 95%,95.09754201603725,47.71258507195951,0.09690090620760676,0.7087194943654876,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
ML-1M,PGPR,main,ETD,1.0,max explanation gain with NDCG retention >= 95%,99.37594565492147,15.270284027279294,0.1012604425419937,0.18746688741722697,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
ML-1M,UCPR,auxiliary,LIR,1.0,max explanation gain with NDCG retention >= 95%,97.17021367334252,44.48710687121857,0.08377565281617134,0.653647162579297,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
ML-1M,UCPR,auxiliary,SEP,0.75,max explanation gain with NDCG retention >= 95%,96.92673514557228,33.386449222625174,0.0835657369187005,0.6583112911934077,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
ML-1M,UCPR,auxiliary,ETD,1.0,max explanation gain with NDCG retention >= 95%,98.6577020832832,5.914101102243362,0.0850580963540459,0.23067880794702803,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking,main ablation table
