dataset,model,role,optimized_metric,alpha,constraint,ndcg,hr,precision,recall,LIR,SEP,ETD,ndcg_delta_pct,hr_delta_pct,precision_delta_pct,recall_delta_pct,LIR_delta_pct,SEP_delta_pct,ETD_delta_pct,ndcg_retention_pct,optimized_metric_gain_pct,sweep_protocol,ndcg_scope
LastFM,PGPR,main,LIR,0.95,max explanation gain with NDCG retention >= 95%,0.11185861407539402,0.18538398018166805,0.025027525461051473,0.010973332263005845,0.02185695878385331,0.5452072397045544,0.13973248214014292,-0.9667417973819851,-1.1376146788990802,-1.8883193957377968,0.058698377490832884,191.6198689637836,-4.151267721534039,-12.71363463729587,99.03325820261801,191.6198689637836,xrecsys legacy-exact-k alpha sweep; export/accuracy provenance is canonical full-user PASS,"sweep-internal legacy NDCG; use only for within-sweep retention, not for cross-table comparison with strict accuracy"
LastFM,PGPR,main,SEP,0.3,max explanation gain with NDCG retention >= 95%,0.10755338418045414,0.17740159647674097,0.023093861822185525,0.010056189273460853,0.007683049587880942,0.9238190222515256,0.18828089375285006,-4.778347611842004,-5.394495412844042,-9.468572970056641,-8.30413358279606,2.5087678581921007,62.40958609706624,17.6129889859476,95.22165238815799,62.40958609706624,xrecsys legacy-exact-k alpha sweep; export/accuracy provenance is canonical full-user PASS,"sweep-internal legacy NDCG; use only for within-sweep retention, not for cross-table comparison with strict accuracy"
LastFM,PGPR,main,ETD,0.4,max explanation gain with NDCG retention >= 95%,0.10771942610202152,0.1693725921849202,0.02157402311502477,0.009614298631339984,0.00634819787695338,0.5881133778044602,0.2949612403100775,-4.631343533282991,-9.676238178669342,-15.426570297399536,-12.333447688673347,-15.301087798137738,3.3917336261173587,84.25275351310283,95.368656466717,84.25275351310283,xrecsys legacy-exact-k alpha sweep; export/accuracy provenance is canonical full-user PASS,"sweep-internal legacy NDCG; use only for within-sweep retention, not for cross-table comparison with strict accuracy"
LastFM,UCPR,auxiliary,LIR,1.0,max explanation gain with NDCG retention >= 95%,0.12310931516916541,0.19983716971356671,0.02936866257123825,0.013376242691087016,0.011778583580679233,0.5096590119434674,0.11529107767137867,-1.9821750178769766,-9.029649595687337,-6.985466479137367,-10.533000949741595,146.73926358605274,-1.4166992808236354,-4.854490717511271,98.01782498212303,146.73926358605274,xrecsys legacy-exact-k alpha sweep; export/accuracy provenance is canonical full-user PASS,"sweep-internal legacy NDCG; use only for within-sweep retention, not for cross-table comparison with strict accuracy"
LastFM,UCPR,auxiliary,SEP,1.0,max explanation gain with NDCG retention >= 95%,0.12382155612634452,0.20672045000370068,0.0277551624602176,0.012746574568017307,0.005359653880658644,0.9335519346323935,0.16984344125247003,-1.4150992495652814,-5.896226415094344,-12.095639943741215,-14.744536181992801,12.27470964837208,80.57687385510727,40.16557952834924,98.58490075043473,80.57687385510727,xrecsys legacy-exact-k alpha sweep; export/accuracy provenance is canonical full-user PASS,"sweep-internal legacy NDCG; use only for within-sweep retention, not for cross-table comparison with strict accuracy"
LastFM,UCPR,auxiliary,ETD,1.0,max explanation gain with NDCG retention >= 95%,0.1265353194595019,0.2091181506849315,0.029901541095890414,0.013545301233669909,0.004798374853347809,0.5342818926189927,0.1855905152758778,0.7455591788145148,-4.804739423715986,-5.2977679918951335,-9.402252890065606,0.5169653562536315,3.346102501001744,53.1610637230306,100.74555917881452,53.1610637230306,xrecsys legacy-exact-k alpha sweep; export/accuracy provenance is canonical full-user PASS,"sweep-internal legacy NDCG; use only for within-sweep retention, not for cross-table comparison with strict accuracy"
ML-1M,PGPR,main,LIR,0.25,max explanation gain with NDCG retention >= 95%,0.09716510602708665,0.502317880794702,0.08758278145695364,0.039814772434666294,0.9189524227468518,0.48538966280629864,0.1494701986754967,-4.643175027621795,-1.7487046632124377,-5.73770491803279,-5.969476980549353,98.86681369014998,1.1657819918103869,-8.09325053445993,95.3568249723782,98.86681369014998,xrecsys canonical-all-users alpha sweep,canonical-all-users sweep NDCG
ML-1M,PGPR,main,SEP,0.15,max explanation gain with NDCG retention >= 95%,0.09844758717779073,0.49768211920529803,0.08867549668874171,0.04003427241732244,0.4652641981633395,0.8768093444247899,0.15188741721854307,-3.3845613583898473,-2.6554404145077664,-4.561653599429808,-5.451084009553812,0.6859618872067837,82.7461723713277,-6.606942889137726,96.61543864161015,82.7461723713277,xrecsys canonical-all-users alpha sweep,canonical-all-users sweep NDCG
ML-1M,PGPR,main,ETD,1.0,no alpha retained >=95% NDCG; reporting alpha=1 endpoint,0.08184371171923153,0.4322847682119205,0.06670529801324503,0.028783029107473917,0.4756346595705734,0.4915267975373599,0.5191059602649006,-19.679432127363448,-15.446891191709843,-28.207412687099083,-32.023138258518884,2.930191909897946,2.4448945931528607,219.1896569276188,80.32056787263654,219.1896569276188,xrecsys canonical-all-users alpha sweep,canonical-all-users sweep NDCG
ML-1M,UCPR,auxiliary,LIR,1.0,max explanation gain with NDCG retention >= 95%,0.08285638305218351,0.42334437086092713,0.06216887417218543,0.034761258666867106,0.7341617261649649,0.4866838586616545,0.22076158940397353,-3.8960345310857765,-4.196328212813787,-6.359102244389023,-8.313461898606588,62.25778594273257,-1.3885487469606985,1.3606993538578553,96.10396546891423,62.25778594273257,xrecsys canonical-all-users alpha sweep,canonical-all-users sweep NDCG
ML-1M,UCPR,auxiliary,SEP,1.0,max explanation gain with NDCG retention >= 95%,0.08248680713947612,0.4187086092715232,0.061986754966887415,0.033967628363958634,0.4447953717260203,0.7406312669367592,0.22062913907284767,-4.324700488307254,-5.245410266017225,-6.633416458852867,-10.406746716149593,-1.6953490740513628,50.0660496052842,1.2998859749144753,95.67529951169274,50.0660496052842,xrecsys canonical-all-users alpha sweep,canonical-all-users sweep NDCG
ML-1M,UCPR,auxiliary,ETD,1.0,max explanation gain with NDCG retention >= 95%,0.09920442206439652,0.3978476821192053,0.08086092715231788,0.038933301156874295,0.4582444048903166,0.4845444983170362,0.2554966887417219,15.065828379641143,-9.966279505432743,21.79551122194514,2.6907464468546647,1.2770346208986527,-1.8220240401749594,17.309007981755993,115.06582837964115,17.309007981755993,xrecsys canonical-all-users alpha sweep,canonical-all-users sweep NDCG
