model,alpha,ndcg,hr,ETD
VRKG4Rec_final,0.0000,0.0357,0.0714,0.2654
VRKG4Rec_final,0.0500,0.0357,0.0714,0.3049
VRKG4Rec_final,0.1000,0.0357,0.0714,0.3072
VRKG4Rec_final,0.1500,0.0357,0.0714,0.3080
VRKG4Rec_final,0.2000,0.0357,0.0714,0.3088
VRKG4Rec_final,0.2500,0.0357,0.0714,0.3094
VRKG4Rec_final,0.3000,0.0357,0.0714,0.3101
VRKG4Rec_final,0.3500,0.0357,0.0714,0.3118
VRKG4Rec_final,0.4000,0.0276,0.0714,0.3152
VRKG4Rec_final,0.4500,0.0276,0.0714,0.3198
VRKG4Rec_final,0.5000,0.0276,0.0714,0.3222
VRKG4Rec_final,0.5500,0.0276,0.0714,0.3227
VRKG4Rec_final,0.6000,0.0276,0.0714,0.3228
VRKG4Rec_final,0.6500,0.0276,0.0714,0.3228
VRKG4Rec_final,0.7000,0.0276,0.0714,0.3228
VRKG4Rec_final,0.7500,0.0276,0.0714,0.3228
VRKG4Rec_final,0.8000,0.0276,0.0714,0.3228
VRKG4Rec_final,0.8500,0.0276,0.0714,0.3228
VRKG4Rec_final,0.9000,0.0276,0.0714,0.3228
VRKG4Rec_final,0.9500,0.0276,0.0714,0.3228
VRKG4Rec_final,1.0000,0.0276,0.0714,0.3228
PGPR,0.0000,0.1151,0.1799,0.1204
PGPR,0.0500,0.1153,0.1807,0.1530
PGPR,0.1000,0.1152,0.1814,0.1785
PGPR,0.1500,0.1150,0.1828,0.2114
PGPR,0.2000,0.1148,0.1831,0.2424
PGPR,0.2500,0.1146,0.1825,0.2664
PGPR,0.3000,0.1143,0.1814,0.2867
PGPR,0.3500,0.1138,0.1801,0.3067
PGPR,0.4000,0.1133,0.1783,0.3266
PGPR,0.4500,0.1125,0.1758,0.3435
PGPR,0.5000,0.1117,0.1738,0.3534
PGPR,0.5500,0.1112,0.1731,0.3575
PGPR,0.6000,0.1110,0.1728,0.3587
PGPR,0.6500,0.1110,0.1728,0.3589
PGPR,0.7000,0.1110,0.1728,0.3590
PGPR,0.7500,0.1110,0.1728,0.3590
PGPR,0.8000,0.1110,0.1728,0.3590
PGPR,0.8500,0.1110,0.1728,0.3590
PGPR,0.9000,0.1110,0.1728,0.3590
PGPR,0.9500,0.1110,0.1728,0.3590
PGPR,1.0000,0.1110,0.1728,0.3590
