protocol,model,objective,rec_metric,alpha,rec_value,explainability
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.0,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.05,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.1,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.15,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.2,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.25,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.3,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.35,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.4,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.45,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.5,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.55,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.6,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.65,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.7,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.75,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.8,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.85,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.9,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,0.95,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,LIR,ndcg,1.0,0.033649334338773,0.3161425275570651
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.0,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.05,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.1,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.15,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.2,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.25,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.3,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.35,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.4,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.45,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.5,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.55,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.6,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.65,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.7,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.75,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.8,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.85,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.9,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,0.95,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,SEP,ndcg,1.0,0.033649334338773,0.4790553972271969
canonical_all_users_language_models,KGGLM,ETD,ndcg,0.0,0.0477493383896796,0.0950331125827814
canonical_all_users_language_models,KGGLM,ETD,ndcg,0.05,0.0477493383896796,0.0950331125827814
canonical_all_users_language_models,KGGLM,ETD,ndcg,0.1,0.0477493383896796,0.0950331125827814
canonical_all_users_language_models,KGGLM,ETD,ndcg,0.15,0.0477493383896796,0.0950331125827814
canonical_all_users_language_models,KGGLM,ETD,ndcg,0.2,0.0477493383896796,0.0950331125827814
