protocol,model,objective,rec_metric,alpha,rec_value,explainability
legacy_four_model,PGPR,LIR,ndcg,0.0,0.2968,0.4655
legacy_four_model,PGPR,LIR,ndcg,0.05,0.2985,0.7916
legacy_four_model,PGPR,LIR,ndcg,0.1,0.2995,0.846
legacy_four_model,PGPR,LIR,ndcg,0.15,0.3001,0.8822
legacy_four_model,PGPR,LIR,ndcg,0.2,0.2961,0.9045
legacy_four_model,PGPR,LIR,ndcg,0.25,0.2944,0.919
legacy_four_model,PGPR,LIR,ndcg,0.3,0.2948,0.9292
legacy_four_model,PGPR,LIR,ndcg,0.35,0.2969,0.9369
legacy_four_model,PGPR,LIR,ndcg,0.4,0.2965,0.9425
legacy_four_model,PGPR,LIR,ndcg,0.45,0.2932,0.9472
legacy_four_model,PGPR,LIR,ndcg,0.5,0.2903,0.9509
legacy_four_model,PGPR,LIR,ndcg,0.55,0.289,0.9539
legacy_four_model,PGPR,LIR,ndcg,0.6,0.2883,0.9562
legacy_four_model,PGPR,LIR,ndcg,0.65,0.2873,0.9581
legacy_four_model,PGPR,LIR,ndcg,0.7,0.2856,0.9596
legacy_four_model,PGPR,LIR,ndcg,0.75,0.2842,0.9608
legacy_four_model,PGPR,LIR,ndcg,0.8,0.2824,0.9616
legacy_four_model,PGPR,LIR,ndcg,0.85,0.2829,0.9622
legacy_four_model,PGPR,LIR,ndcg,0.9,0.2807,0.9625
legacy_four_model,PGPR,LIR,ndcg,0.95,0.2782,0.9626
legacy_four_model,PGPR,LIR,ndcg,1.0,0.2284,0.9627
legacy_four_model,UCPR,LIR,ndcg,0.0,0.252,0.4568
legacy_four_model,UCPR,LIR,ndcg,0.05,0.2509,0.6711
legacy_four_model,UCPR,LIR,ndcg,0.1,0.2515,0.6863
legacy_four_model,UCPR,LIR,ndcg,0.15,0.2509,0.6985
legacy_four_model,UCPR,LIR,ndcg,0.2,0.2495,0.7075
legacy_four_model,UCPR,LIR,ndcg,0.25,0.2483,0.7145
legacy_four_model,UCPR,LIR,ndcg,0.3,0.247,0.7198
legacy_four_model,UCPR,LIR,ndcg,0.35,0.2475,0.7238
legacy_four_model,UCPR,LIR,ndcg,0.4,0.2473,0.7266
legacy_four_model,UCPR,LIR,ndcg,0.45,0.2457,0.7288
legacy_four_model,UCPR,LIR,ndcg,0.5,0.2452,0.7305
legacy_four_model,UCPR,LIR,ndcg,0.55,0.2441,0.7317
legacy_four_model,UCPR,LIR,ndcg,0.6,0.2436,0.7325
legacy_four_model,UCPR,LIR,ndcg,0.65,0.2434,0.7331
legacy_four_model,UCPR,LIR,ndcg,0.7,0.2425,0.7335
legacy_four_model,UCPR,LIR,ndcg,0.75,0.2426,0.7338
legacy_four_model,UCPR,LIR,ndcg,0.8,0.2426,0.734
legacy_four_model,UCPR,LIR,ndcg,0.85,0.2417,0.7341
legacy_four_model,UCPR,LIR,ndcg,0.9,0.2414,0.7341
legacy_four_model,UCPR,LIR,ndcg,0.95,0.2414,0.7342
legacy_four_model,UCPR,LIR,ndcg,1.0,0.2405,0.7342
legacy_four_model,CAFE,LIR,ndcg,0.0,0.3229,0.3949
legacy_four_model,CAFE,LIR,ndcg,0.05,0.3194,0.4897
legacy_four_model,CAFE,LIR,ndcg,0.1,0.3047,0.5911
legacy_four_model,CAFE,LIR,ndcg,0.15,0.2944,0.6447
legacy_four_model,CAFE,LIR,ndcg,0.2,0.2849,0.6696
legacy_four_model,CAFE,LIR,ndcg,0.25,0.279,0.6818
legacy_four_model,CAFE,LIR,ndcg,0.3,0.2718,0.6883
legacy_four_model,CAFE,LIR,ndcg,0.35,0.2699,0.6921
legacy_four_model,CAFE,LIR,ndcg,0.4,0.2666,0.6944
legacy_four_model,CAFE,LIR,ndcg,0.45,0.2645,0.6959
legacy_four_model,CAFE,LIR,ndcg,0.5,0.2617,0.6969
legacy_four_model,CAFE,LIR,ndcg,0.55,0.2593,0.6976
legacy_four_model,CAFE,LIR,ndcg,0.6,0.2575,0.698
legacy_four_model,CAFE,LIR,ndcg,0.65,0.2566,0.6982
legacy_four_model,CAFE,LIR,ndcg,0.7,0.2566,0.6984
legacy_four_model,CAFE,LIR,ndcg,0.75,0.256,0.6985
legacy_four_model,CAFE,LIR,ndcg,0.8,0.2562,0.6985
legacy_four_model,CAFE,LIR,ndcg,0.85,0.2557,0.6985
legacy_four_model,CAFE,LIR,ndcg,0.9,0.2559,0.6986
legacy_four_model,CAFE,LIR,ndcg,0.95,0.2557,0.6986
legacy_four_model,CAFE,LIR,ndcg,1.0,0.1834,0.6986
legacy_four_model,TPRec,LIR,ndcg,0.0,0.2631,0.4502
legacy_four_model,TPRec,LIR,ndcg,0.05,0.2658,0.7761
legacy_four_model,TPRec,LIR,ndcg,0.1,0.2678,0.8255
legacy_four_model,TPRec,LIR,ndcg,0.15,0.2713,0.8577
legacy_four_model,TPRec,LIR,ndcg,0.2,0.2743,0.8795
legacy_four_model,TPRec,LIR,ndcg,0.25,0.2767,0.8949
legacy_four_model,TPRec,LIR,ndcg,0.3,0.2791,0.9064
legacy_four_model,TPRec,LIR,ndcg,0.35,0.2804,0.9152
legacy_four_model,TPRec,LIR,ndcg,0.4,0.2816,0.9218
legacy_four_model,TPRec,LIR,ndcg,0.45,0.284,0.927
legacy_four_model,TPRec,LIR,ndcg,0.5,0.2847,0.9312
legacy_four_model,TPRec,LIR,ndcg,0.55,0.2851,0.9345
legacy_four_model,TPRec,LIR,ndcg,0.6,0.2853,0.9374
legacy_four_model,TPRec,LIR,ndcg,0.65,0.2837,0.9395
legacy_four_model,TPRec,LIR,ndcg,0.7,0.2831,0.9413
legacy_four_model,TPRec,LIR,ndcg,0.75,0.2828,0.9427
legacy_four_model,TPRec,LIR,ndcg,0.8,0.2821,0.9437
legacy_four_model,TPRec,LIR,ndcg,0.85,0.282,0.9444
legacy_four_model,TPRec,LIR,ndcg,0.9,0.2819,0.9448
legacy_four_model,TPRec,LIR,ndcg,0.95,0.2812,0.945
legacy_four_model,TPRec,LIR,ndcg,1.0,0.2693,0.9451
legacy_four_model,PGPR,LIR,hr,0.0,0.5113,0.4655
legacy_four_model,PGPR,LIR,hr,0.05,0.5144,0.7916
legacy_four_model,PGPR,LIR,hr,0.1,0.518,0.846
legacy_four_model,PGPR,LIR,hr,0.15,0.5151,0.8822
legacy_four_model,PGPR,LIR,hr,0.2,0.5071,0.9045
legacy_four_model,PGPR,LIR,hr,0.25,0.5023,0.919
legacy_four_model,PGPR,LIR,hr,0.3,0.5,0.9292
legacy_four_model,PGPR,LIR,hr,0.35,0.5007,0.9369
legacy_four_model,PGPR,LIR,hr,0.4,0.5002,0.9425
