alpha,metric,group,data,opt
0,ndcg,Overall,0.03571428571428571,ETD_LIR_opt
0,ndcg,Male,0.1,ETD_LIR_opt
0,ndcg,Female,0.0,ETD_LIR_opt
0,ndcg,Under 18,0.0,ETD_LIR_opt
0,ndcg,18-24,0.0,ETD_LIR_opt
0,ndcg,25-34,0.25,ETD_LIR_opt
0,ndcg,35-44,nan,ETD_LIR_opt
0,ndcg,45-49,nan,ETD_LIR_opt
0,ndcg,50-55,nan,ETD_LIR_opt
0,ndcg,56+,nan,ETD_LIR_opt
0,hr,Overall,0.07142857142857142,ETD_LIR_opt
0,hr,Male,0.2,ETD_LIR_opt
0,hr,Female,0.0,ETD_LIR_opt
0,hr,Under 18,0.0,ETD_LIR_opt
0,hr,18-24,0.0,ETD_LIR_opt
0,hr,25-34,0.5,ETD_LIR_opt
0,hr,35-44,nan,ETD_LIR_opt
0,hr,45-49,nan,ETD_LIR_opt
0,hr,50-55,nan,ETD_LIR_opt
0,hr,56+,nan,ETD_LIR_opt
0,recall,Overall,0.017857142857142856,ETD_LIR_opt
0,recall,Male,0.05,ETD_LIR_opt
0,recall,Female,0.0,ETD_LIR_opt
0,recall,Under 18,0.0,ETD_LIR_opt
0,recall,18-24,0.0,ETD_LIR_opt
0,recall,25-34,0.125,ETD_LIR_opt
0,recall,35-44,nan,ETD_LIR_opt
0,recall,45-49,nan,ETD_LIR_opt
0,recall,50-55,nan,ETD_LIR_opt
0,recall,56+,nan,ETD_LIR_opt
0,precision,Overall,0.0071428571428571435,ETD_LIR_opt
0,precision,Male,0.02,ETD_LIR_opt
0,precision,Female,0.0,ETD_LIR_opt
0,precision,Under 18,0.0,ETD_LIR_opt
0,precision,18-24,0.0,ETD_LIR_opt
0,precision,25-34,0.05,ETD_LIR_opt
0,precision,35-44,nan,ETD_LIR_opt
0,precision,45-49,nan,ETD_LIR_opt
0,precision,50-55,nan,ETD_LIR_opt
0,precision,56+,nan,ETD_LIR_opt
0,LIR,Overall,0.0534551521394576,ETD_LIR_opt
0,LIR,Male,0.05556897703173173,ETD_LIR_opt
0,LIR,Female,0.04697750004854438,ETD_LIR_opt
0,LIR,Under 18,0.046753885894038075,ETD_LIR_opt
0,LIR,18-24,0.058970264123674454,ETD_LIR_opt
0,LIR,25-34,0.05128131067562044,ETD_LIR_opt
0,LIR,35-44,0.04617052691535828,ETD_LIR_opt
0,LIR,45-49,0.06104135862435742,ETD_LIR_opt
0,LIR,50-55,0.033651337902266626,ETD_LIR_opt
0,LIR,56+,0.06514231052586128,ETD_LIR_opt
0,SEP,Overall,0.8532373257278687,ETD_LIR_opt
0,SEP,Male,0.8520459771813589,ETD_LIR_opt
0,SEP,Female,0.8551391240202386,ETD_LIR_opt
0,SEP,Under 18,0.8549193265859625,ETD_LIR_opt
0,SEP,18-24,0.8518647499490555,ETD_LIR_opt
0,SEP,25-34,0.8528764951139236,ETD_LIR_opt
0,SEP,35-44,0.8483055933657457,ETD_LIR_opt
0,SEP,45-49,0.8603659466462767,ETD_LIR_opt
0,SEP,50-55,0.8493506532178338,ETD_LIR_opt
0,SEP,56+,0.8593259896120528,ETD_LIR_opt
0,ETD,Overall,0.2653781359559259,ETD_LIR_opt
0,ETD,Male,0.26651651651651653,ETD_LIR_opt
0,ETD,Female,0.2655586829290087,ETD_LIR_opt
0,ETD,Under 18,0.26587926509186355,ETD_LIR_opt
0,ETD,18-24,0.2669957756164652,ETD_LIR_opt
0,ETD,25-34,0.26673418209876537,ETD_LIR_opt
0,ETD,35-44,0.26197318007662834,ETD_LIR_opt
0,ETD,45-49,0.271448663853727,ETD_LIR_opt
0,ETD,50-55,0.25,ETD_LIR_opt
0,ETD,56+,0.25490196078431365,ETD_LIR_opt
0.05,ndcg,Overall,0.03571428571428571,ETD_LIR_opt
0.05,ndcg,Male,0.1,ETD_LIR_opt
0.05,ndcg,Female,0.0,ETD_LIR_opt
0.05,ndcg,Under 18,0.0,ETD_LIR_opt
0.05,ndcg,18-24,0.0,ETD_LIR_opt
0.05,ndcg,25-34,0.25,ETD_LIR_opt
0.05,ndcg,35-44,nan,ETD_LIR_opt
0.05,ndcg,45-49,nan,ETD_LIR_opt
0.05,ndcg,50-55,nan,ETD_LIR_opt
0.05,ndcg,56+,nan,ETD_LIR_opt
0.05,hr,Overall,0.07142857142857142,ETD_LIR_opt
0.05,hr,Male,0.2,ETD_LIR_opt
0.05,hr,Female,0.0,ETD_LIR_opt
0.05,hr,Under 18,0.0,ETD_LIR_opt
0.05,hr,18-24,0.0,ETD_LIR_opt
0.05,hr,25-34,0.5,ETD_LIR_opt
0.05,hr,35-44,nan,ETD_LIR_opt
0.05,hr,45-49,nan,ETD_LIR_opt
0.05,hr,50-55,nan,ETD_LIR_opt
0.05,hr,56+,nan,ETD_LIR_opt
0.05,recall,Overall,0.017857142857142856,ETD_LIR_opt
0.05,recall,Male,0.05,ETD_LIR_opt
0.05,recall,Female,0.0,ETD_LIR_opt
0.05,recall,Under 18,0.0,ETD_LIR_opt
0.05,recall,18-24,0.0,ETD_LIR_opt
0.05,recall,25-34,0.125,ETD_LIR_opt
0.05,recall,35-44,nan,ETD_LIR_opt
0.05,recall,45-49,nan,ETD_LIR_opt
0.05,recall,50-55,nan,ETD_LIR_opt
0.05,recall,56+,nan,ETD_LIR_opt
0.05,precision,Overall,0.0071428571428571435,ETD_LIR_opt
0.05,precision,Male,0.02,ETD_LIR_opt
0.05,precision,Female,0.0,ETD_LIR_opt
0.05,precision,Under 18,0.0,ETD_LIR_opt
0.05,precision,18-24,0.0,ETD_LIR_opt
0.05,precision,25-34,0.05,ETD_LIR_opt
0.05,precision,35-44,nan,ETD_LIR_opt
0.05,precision,45-49,nan,ETD_LIR_opt
0.05,precision,50-55,nan,ETD_LIR_opt
0.05,precision,56+,nan,ETD_LIR_opt
0.05,LIR,Overall,0.08324828097053809,ETD_LIR_opt
0.05,LIR,Male,0.08454898368709957,ETD_LIR_opt
0.05,LIR,Female,0.0792623785893212,ETD_LIR_opt
0.05,LIR,Under 18,0.0730058388878445,ETD_LIR_opt
0.05,LIR,18-24,0.09009006493640578,ETD_LIR_opt
0.05,LIR,25-34,0.08566145999161835,ETD_LIR_opt
0.05,LIR,35-44,0.06633619581423959,ETD_LIR_opt
0.05,LIR,45-49,0.07533862154305697,ETD_LIR_opt
0.05,LIR,50-55,0.045659018017067544,ETD_LIR_opt
0.05,LIR,56+,0.0783285583351294,ETD_LIR_opt
0.05,SEP,Overall,0.8561818450428554,ETD_LIR_opt
0.05,SEP,Male,0.8552341810346219,ETD_LIR_opt
0.05,SEP,Female,0.8582351174059699,ETD_LIR_opt
0.05,SEP,Under 18,0.8578241858765173,ETD_LIR_opt
0.05,SEP,18-24,0.8553875942256953,ETD_LIR_opt
0.05,SEP,25-34,0.8556155027806372,ETD_LIR_opt
0.05,SEP,35-44,0.8517603792110428,ETD_LIR_opt
0.05,SEP,45-49,0.8599109219586629,ETD_LIR_opt
0.05,SEP,50-55,0.853757088528854,ETD_LIR_opt
0.05,SEP,56+,0.8640982809031196,ETD_LIR_opt
0.05,ETD,Overall,0.3049143256082199,ETD_LIR_opt
0.05,ETD,Male,0.30570276158511456,ETD_LIR_opt
0.05,ETD,Female,0.30657195192780234,ETD_LIR_opt
0.05,ETD,Under 18,0.30533683289588803,ETD_LIR_opt
0.05,ETD,18-24,0.30715197956577267,ETD_LIR_opt
0.05,ETD,25-34,0.3053144290123457,ETD_LIR_opt
0.05,ETD,35-44,0.30316091954022995,ETD_LIR_opt
0.05,ETD,45-49,0.2995780590717299,ETD_LIR_opt
0.05,ETD,50-55,0.2996031746031746,ETD_LIR_opt
0.05,ETD,56+,0.2973856209150326,ETD_LIR_opt
0.1,ndcg,Overall,0.03571428571428571,ETD_LIR_opt
0.1,ndcg,Male,0.1,ETD_LIR_opt
0.1,ndcg,Female,0.0,ETD_LIR_opt
0.1,ndcg,Under 18,0.0,ETD_LIR_opt
0.1,ndcg,18-24,0.0,ETD_LIR_opt
0.1,ndcg,25-34,0.25,ETD_LIR_opt
0.1,ndcg,35-44,nan,ETD_LIR_opt
0.1,ndcg,45-49,nan,ETD_LIR_opt
0.1,ndcg,50-55,nan,ETD_LIR_opt
0.1,ndcg,56+,nan,ETD_LIR_opt
0.1,hr,Overall,0.07142857142857142,ETD_LIR_opt
0.1,hr,Male,0.2,ETD_LIR_opt
0.1,hr,Female,0.0,ETD_LIR_opt
0.1,hr,Under 18,0.0,ETD_LIR_opt
0.1,hr,18-24,0.0,ETD_LIR_opt
0.1,hr,25-34,0.5,ETD_LIR_opt
0.1,hr,35-44,nan,ETD_LIR_opt
0.1,hr,45-49,nan,ETD_LIR_opt
0.1,hr,50-55,nan,ETD_LIR_opt
0.1,hr,56+,nan,ETD_LIR_opt
0.1,recall,Overall,0.017857142857142856,ETD_LIR_opt
0.1,recall,Male,0.05,ETD_LIR_opt
0.1,recall,Female,0.0,ETD_LIR_opt
0.1,recall,Under 18,0.0,ETD_LIR_opt
0.1,recall,18-24,0.0,ETD_LIR_opt
0.1,recall,25-34,0.125,ETD_LIR_opt
0.1,recall,35-44,nan,ETD_LIR_opt
0.1,recall,45-49,nan,ETD_LIR_opt
0.1,recall,50-55,nan,ETD_LIR_opt
0.1,recall,56+,nan,ETD_LIR_opt
0.1,precision,Overall,0.0071428571428571435,ETD_LIR_opt
0.1,precision,Male,0.02,ETD_LIR_opt
0.1,precision,Female,0.0,ETD_LIR_opt
0.1,precision,Under 18,0.0,ETD_LIR_opt
0.1,precision,18-24,0.0,ETD_LIR_opt
0.1,precision,25-34,0.05,ETD_LIR_opt
0.1,precision,35-44,nan,ETD_LIR_opt
0.1,precision,45-49,nan,ETD_LIR_opt
0.1,precision,50-55,nan,ETD_LIR_opt
0.1,precision,56+,nan,ETD_LIR_opt
0.1,LIR,Overall,0.08626682510197256,ETD_LIR_opt
0.1,LIR,Male,0.0876707585968238,ETD_LIR_opt
0.1,LIR,Female,0.08196458002402647,ETD_LIR_opt
0.1,LIR,Under 18,0.07574010694836307,ETD_LIR_opt
0.1,LIR,18-24,0.09334636975858251,ETD_LIR_opt
0.1,LIR,25-34,0.08871654461225616,ETD_LIR_opt
0.1,LIR,35-44,0.06971817807957006,ETD_LIR_opt
0.1,LIR,45-49,0.07533862154305697,ETD_LIR_opt
0.1,LIR,50-55,0.045659018017067544,ETD_LIR_opt
0.1,LIR,56+,0.0783285583351294,ETD_LIR_opt
0.1,SEP,Overall,0.8568416552942307,ETD_LIR_opt
0.1,SEP,Male,0.8559242686059081,ETD_LIR_opt
0.1,SEP,Female,0.8587240257243646,ETD_LIR_opt
0.1,SEP,Under 18,0.8583648327458131,ETD_LIR_opt
0.1,SEP,18-24,0.8560656315830462,ETD_LIR_opt
0.1,SEP,25-34,0.8563337882236975,ETD_LIR_opt
0.1,SEP,35-44,0.8521566128449605,ETD_LIR_opt
0.1,SEP,45-49,0.8596917189451747,ETD_LIR_opt
0.1,SEP,50-55,0.8548605288241902,ETD_LIR_opt
0.1,SEP,56+,0.8656001157754997,ETD_LIR_opt
0.1,ETD,Overall,0.307259178315045,ETD_LIR_opt
0.1,ETD,Male,0.30808749926396983,ETD_LIR_opt
0.1,ETD,Female,0.3083590224724121,ETD_LIR_opt
0.1,ETD,Under 18,0.30743657042869643,ETD_LIR_opt
0.1,ETD,18-24,0.309215050594361,ETD_LIR_opt
0.1,ETD,25-34,0.3079668209876543,ETD_LIR_opt
0.1,ETD,35-44,0.30507662835249044,ETD_LIR_opt
0.1,ETD,45-49,0.30379746835443033,ETD_LIR_opt
0.1,ETD,50-55,0.30158730158730157,ETD_LIR_opt
0.1,ETD,56+,0.30228758169934633,ETD_LIR_opt
0.15,ndcg,Overall,0.03571428571428571,ETD_LIR_opt
0.15,ndcg,Male,0.1,ETD_LIR_opt
0.15,ndcg,Female,0.0,ETD_LIR_opt
0.15,ndcg,Under 18,0.0,ETD_LIR_opt
0.15,ndcg,18-24,0.0,ETD_LIR_opt
0.15,ndcg,25-34,0.25,ETD_LIR_opt
0.15,ndcg,35-44,nan,ETD_LIR_opt
0.15,ndcg,45-49,nan,ETD_LIR_opt
0.15,ndcg,50-55,nan,ETD_LIR_opt
0.15,ndcg,56+,nan,ETD_LIR_opt
0.15,hr,Overall,0.07142857142857142,ETD_LIR_opt
0.15,hr,Male,0.2,ETD_LIR_opt
0.15,hr,Female,0.0,ETD_LIR_opt
0.15,hr,Under 18,0.0,ETD_LIR_opt
0.15,hr,18-24,0.0,ETD_LIR_opt
0.15,hr,25-34,0.5,ETD_LIR_opt
0.15,hr,35-44,nan,ETD_LIR_opt
0.15,hr,45-49,nan,ETD_LIR_opt
0.15,hr,50-55,nan,ETD_LIR_opt
0.15,hr,56+,nan,ETD_LIR_opt
0.15,recall,Overall,0.017857142857142856,ETD_LIR_opt
0.15,recall,Male,0.05,ETD_LIR_opt
0.15,recall,Female,0.0,ETD_LIR_opt
0.15,recall,Under 18,0.0,ETD_LIR_opt
0.15,recall,18-24,0.0,ETD_LIR_opt
0.15,recall,25-34,0.125,ETD_LIR_opt
0.15,recall,35-44,nan,ETD_LIR_opt
0.15,recall,45-49,nan,ETD_LIR_opt
0.15,recall,50-55,nan,ETD_LIR_opt
0.15,recall,56+,nan,ETD_LIR_opt
0.15,precision,Overall,0.0071428571428571435,ETD_LIR_opt
0.15,precision,Male,0.02,ETD_LIR_opt
0.15,precision,Female,0.0,ETD_LIR_opt
0.15,precision,Under 18,0.0,ETD_LIR_opt
0.15,precision,18-24,0.0,ETD_LIR_opt
0.15,precision,25-34,0.05,ETD_LIR_opt
0.15,precision,35-44,nan,ETD_LIR_opt
0.15,precision,45-49,nan,ETD_LIR_opt
0.15,precision,50-55,nan,ETD_LIR_opt
0.15,precision,56+,nan,ETD_LIR_opt
0.15,LIR,Overall,0.08725159479354819,ETD_LIR_opt
0.15,LIR,Male,0.08871835881882086,ETD_LIR_opt
0.15,LIR,Female,0.0827568104384628,ETD_LIR_opt
0.15,LIR,Under 18,0.0770195795013497,ETD_LIR_opt
0.15,LIR,18-24,0.09482799015411646,ETD_LIR_opt
0.15,LIR,25-34,0.08856560922348433,ETD_LIR_opt
0.15,LIR,35-44,0.06985202441904806,ETD_LIR_opt
