alpha,metric,group,data,opt
0,ndcg,Overall,0.19699498897658932,SEP_LIR_opt
0,ndcg,Male,0.19744398880184813,SEP_LIR_opt
0,ndcg,Female,0.19111510725859554,SEP_LIR_opt
0,ndcg,Under 18,0.19824689282521774,SEP_LIR_opt
0,ndcg,18-24,0.19277614439357882,SEP_LIR_opt
0,ndcg,25-34,0.19899095017162174,SEP_LIR_opt
0,ndcg,35-44,0.21902296545454375,SEP_LIR_opt
0,ndcg,45-49,0.17201205770758077,SEP_LIR_opt
0,ndcg,50-55,0.12691837961999453,SEP_LIR_opt
0,ndcg,56+,0.1370726962750365,SEP_LIR_opt
0,hr,Overall,0.3015293312029217,SEP_LIR_opt
0,hr,Male,0.30129526052399175,SEP_LIR_opt
0,hr,Female,0.29159212880143115,SEP_LIR_opt
0,hr,Under 18,0.3054466230936819,SEP_LIR_opt
0,hr,18-24,0.29105571847507333,SEP_LIR_opt
0,hr,25-34,0.3069016152716593,SEP_LIR_opt
0,hr,35-44,0.33413461538461536,SEP_LIR_opt
0,hr,45-49,0.24324324324324326,SEP_LIR_opt
0,hr,50-55,0.18,SEP_LIR_opt
0,hr,56+,0.23333333333333334,SEP_LIR_opt
0,recall,Overall,0.024321063643972657,SEP_LIR_opt
0,recall,Male,0.022972020747230013,SEP_LIR_opt
0,recall,Female,0.024449449314599084,SEP_LIR_opt
0,recall,Under 18,0.024326629018031076,SEP_LIR_opt
0,recall,18-24,0.02293625005984219,SEP_LIR_opt
0,recall,25-34,0.024135155133591633,SEP_LIR_opt
0,recall,35-44,0.022306432148215236,SEP_LIR_opt
0,recall,45-49,0.014448372485661836,SEP_LIR_opt
0,recall,50-55,0.014689359198855372,SEP_LIR_opt
0,recall,56+,0.011081392456695243,SEP_LIR_opt
0,precision,Overall,0.05702655405919502,SEP_LIR_opt
0,precision,Male,0.05662349131586694,SEP_LIR_opt
0,precision,Female,0.054427549194991064,SEP_LIR_opt
0,precision,Under 18,0.056688453159041405,SEP_LIR_opt
0,precision,18-24,0.054349951124144674,SEP_LIR_opt
0,precision,25-34,0.05800293685756241,SEP_LIR_opt
0,precision,35-44,0.06225961538461538,SEP_LIR_opt
0,precision,45-49,0.056756756756756746,SEP_LIR_opt
0,precision,50-55,0.052000000000000005,SEP_LIR_opt
0,precision,56+,0.045000000000000005,SEP_LIR_opt
0,LIR,Overall,0.0599346788647106,SEP_LIR_opt
0,LIR,Male,0.06149888402579095,SEP_LIR_opt
0,LIR,Female,0.05514129372229773,SEP_LIR_opt
0,LIR,Under 18,0.05398570550714413,SEP_LIR_opt
0,LIR,18-24,0.06510441912756582,SEP_LIR_opt
0,LIR,25-34,0.058624641727220816,SEP_LIR_opt
0,LIR,35-44,0.04985755258342139,SEP_LIR_opt
0,LIR,45-49,0.06407895946389626,SEP_LIR_opt
0,LIR,50-55,0.033651337902266626,SEP_LIR_opt
0,LIR,56+,0.06514231052586128,SEP_LIR_opt
0,SEP,Overall,0.8763715597910752,SEP_LIR_opt
0,SEP,Male,0.875777221469814,SEP_LIR_opt
0,SEP,Female,0.8776335440517049,SEP_LIR_opt
0,SEP,Under 18,0.8771710345936206,SEP_LIR_opt
0,SEP,18-24,0.8754412409592705,SEP_LIR_opt
0,SEP,25-34,0.8768515634881254,SEP_LIR_opt
0,SEP,35-44,0.8737363664474844,SEP_LIR_opt
0,SEP,45-49,0.8906424162182262,SEP_LIR_opt
0,SEP,50-55,0.8665703966025603,SEP_LIR_opt
0,SEP,56+,0.8815153430840417,SEP_LIR_opt
0,ETD,Overall,0.29345566027713277,SEP_LIR_opt
0,ETD,Male,0.2949272802213979,SEP_LIR_opt
0,ETD,Female,0.2926774784434616,SEP_LIR_opt
0,ETD,Under 18,0.2939632545931759,SEP_LIR_opt
0,ETD,18-24,0.2949945967187347,SEP_LIR_opt
0,ETD,25-34,0.29499421296296297,SEP_LIR_opt
0,ETD,35-44,0.2911877394636016,SEP_LIR_opt
0,ETD,45-49,0.2981715893108297,SEP_LIR_opt
0,ETD,50-55,0.2797619047619047,SEP_LIR_opt
0,ETD,56+,0.27614379084967317,SEP_LIR_opt
0.05,ndcg,Overall,0.19701883157898895,SEP_LIR_opt
0.05,ndcg,Male,0.19741242502109677,SEP_LIR_opt
0.05,ndcg,Female,0.19110367037457107,SEP_LIR_opt
0.05,ndcg,Under 18,0.198388218634225,SEP_LIR_opt
0.05,ndcg,18-24,0.19274344092110293,SEP_LIR_opt
0.05,ndcg,25-34,0.1989386776125247,SEP_LIR_opt
0.05,ndcg,35-44,0.21921163245406813,SEP_LIR_opt
0.05,ndcg,45-49,0.1665765177755484,SEP_LIR_opt
0.05,ndcg,50-55,0.12691837961999453,SEP_LIR_opt
0.05,ndcg,56+,0.1370726962750365,SEP_LIR_opt
0.05,hr,Overall,0.3015293312029217,SEP_LIR_opt
0.05,hr,Male,0.30129526052399175,SEP_LIR_opt
0.05,hr,Female,0.29159212880143115,SEP_LIR_opt
0.05,hr,Under 18,0.3054466230936819,SEP_LIR_opt
0.05,hr,18-24,0.29105571847507333,SEP_LIR_opt
0.05,hr,25-34,0.3069016152716593,SEP_LIR_opt
0.05,hr,35-44,0.33413461538461536,SEP_LIR_opt
0.05,hr,45-49,0.24324324324324326,SEP_LIR_opt
0.05,hr,50-55,0.18,SEP_LIR_opt
0.05,hr,56+,0.23333333333333334,SEP_LIR_opt
0.05,recall,Overall,0.024321063643972657,SEP_LIR_opt
0.05,recall,Male,0.022972020747230013,SEP_LIR_opt
0.05,recall,Female,0.024449449314599084,SEP_LIR_opt
0.05,recall,Under 18,0.024326629018031076,SEP_LIR_opt
0.05,recall,18-24,0.02293625005984219,SEP_LIR_opt
0.05,recall,25-34,0.024135155133591633,SEP_LIR_opt
0.05,recall,35-44,0.022306432148215236,SEP_LIR_opt
0.05,recall,45-49,0.014448372485661836,SEP_LIR_opt
0.05,recall,50-55,0.014689359198855372,SEP_LIR_opt
0.05,recall,56+,0.011081392456695243,SEP_LIR_opt
0.05,precision,Overall,0.05702655405919502,SEP_LIR_opt
0.05,precision,Male,0.05662349131586694,SEP_LIR_opt
0.05,precision,Female,0.054427549194991064,SEP_LIR_opt
0.05,precision,Under 18,0.056688453159041405,SEP_LIR_opt
0.05,precision,18-24,0.054349951124144674,SEP_LIR_opt
0.05,precision,25-34,0.05800293685756241,SEP_LIR_opt
0.05,precision,35-44,0.06225961538461538,SEP_LIR_opt
0.05,precision,45-49,0.056756756756756746,SEP_LIR_opt
0.05,precision,50-55,0.052000000000000005,SEP_LIR_opt
0.05,precision,56+,0.045000000000000005,SEP_LIR_opt
0.05,LIR,Overall,0.08278481939747406,SEP_LIR_opt
0.05,LIR,Male,0.08445468970924401,SEP_LIR_opt
0.05,LIR,Female,0.07766763161331787,SEP_LIR_opt
0.05,LIR,Under 18,0.07478175050684266,SEP_LIR_opt
0.05,LIR,18-24,0.08962880330114407,SEP_LIR_opt
0.05,LIR,25-34,0.08384984128453299,SEP_LIR_opt
0.05,LIR,35-44,0.06108828962680155,SEP_LIR_opt
0.05,LIR,45-49,0.0785530570416999,SEP_LIR_opt
0.05,LIR,50-55,0.03379376527943249,SEP_LIR_opt
0.05,LIR,56+,0.07762006013781907,SEP_LIR_opt
0.05,SEP,Overall,0.8870114569060364,SEP_LIR_opt
0.05,SEP,Male,0.8865672046166316,SEP_LIR_opt
0.05,SEP,Female,0.8882382880811784,SEP_LIR_opt
0.05,SEP,Under 18,0.8875267918702494,SEP_LIR_opt
0.05,SEP,18-24,0.8864787606764537,SEP_LIR_opt
0.05,SEP,25-34,0.8876922973794814,SEP_LIR_opt
0.05,SEP,35-44,0.8850540877089308,SEP_LIR_opt
0.05,SEP,45-49,0.8958863081575927,SEP_LIR_opt
0.05,SEP,50-55,0.8760689025651095,SEP_LIR_opt
0.05,SEP,56+,0.8874963365471045,SEP_LIR_opt
0.05,ETD,Overall,0.2926740427081911,SEP_LIR_opt
0.05,ETD,Male,0.29408820585291173,SEP_LIR_opt
0.05,ETD,Female,0.2921860340436939,SEP_LIR_opt
0.05,ETD,Under 18,0.29409448818897643,SEP_LIR_opt
0.05,ETD,18-24,0.29430690637587187,SEP_LIR_opt
0.05,ETD,25-34,0.2939332561728395,SEP_LIR_opt
0.05,ETD,35-44,0.2883141762452107,SEP_LIR_opt
0.05,ETD,45-49,0.2939521800281293,SEP_LIR_opt
0.05,ETD,50-55,0.2718253968253968,SEP_LIR_opt
0.05,ETD,56+,0.272875816993464,SEP_LIR_opt
0.1,ndcg,Overall,0.1968753865265613,SEP_LIR_opt
0.1,ndcg,Male,0.19732603827702103,SEP_LIR_opt
0.1,ndcg,Female,0.19097046027287776,SEP_LIR_opt
0.1,ndcg,Under 18,0.19789684522669462,SEP_LIR_opt
0.1,ndcg,18-24,0.1929368384913614,SEP_LIR_opt
0.1,ndcg,25-34,0.19917510418689197,SEP_LIR_opt
0.1,ndcg,35-44,0.21815780147244518,SEP_LIR_opt
0.1,ndcg,45-49,0.1585619770062297,SEP_LIR_opt
0.1,ndcg,50-55,0.12691837961999453,SEP_LIR_opt
0.1,ndcg,56+,0.1370726962750365,SEP_LIR_opt
0.1,hr,Overall,0.3015293312029217,SEP_LIR_opt
0.1,hr,Male,0.30129526052399175,SEP_LIR_opt
0.1,hr,Female,0.29159212880143115,SEP_LIR_opt
0.1,hr,Under 18,0.3054466230936819,SEP_LIR_opt
0.1,hr,18-24,0.29105571847507333,SEP_LIR_opt
0.1,hr,25-34,0.3069016152716593,SEP_LIR_opt
0.1,hr,35-44,0.33413461538461536,SEP_LIR_opt
0.1,hr,45-49,0.24324324324324326,SEP_LIR_opt
0.1,hr,50-55,0.18,SEP_LIR_opt
0.1,hr,56+,0.23333333333333334,SEP_LIR_opt
0.1,recall,Overall,0.024321063643972657,SEP_LIR_opt
0.1,recall,Male,0.022972020747230013,SEP_LIR_opt
0.1,recall,Female,0.024449449314599084,SEP_LIR_opt
0.1,recall,Under 18,0.024326629018031076,SEP_LIR_opt
0.1,recall,18-24,0.02293625005984219,SEP_LIR_opt
0.1,recall,25-34,0.024135155133591633,SEP_LIR_opt
0.1,recall,35-44,0.022306432148215236,SEP_LIR_opt
0.1,recall,45-49,0.014448372485661836,SEP_LIR_opt
0.1,recall,50-55,0.014689359198855372,SEP_LIR_opt
0.1,recall,56+,0.011081392456695243,SEP_LIR_opt
0.1,precision,Overall,0.05702655405919502,SEP_LIR_opt
0.1,precision,Male,0.05662349131586694,SEP_LIR_opt
0.1,precision,Female,0.054427549194991064,SEP_LIR_opt
0.1,precision,Under 18,0.056688453159041405,SEP_LIR_opt
0.1,precision,18-24,0.054349951124144674,SEP_LIR_opt
0.1,precision,25-34,0.05800293685756241,SEP_LIR_opt
0.1,precision,35-44,0.06225961538461538,SEP_LIR_opt
0.1,precision,45-49,0.056756756756756746,SEP_LIR_opt
0.1,precision,50-55,0.052000000000000005,SEP_LIR_opt
0.1,precision,56+,0.045000000000000005,SEP_LIR_opt
0.1,LIR,Overall,0.08885945556525113,SEP_LIR_opt
0.1,LIR,Male,0.09114371079284772,SEP_LIR_opt
0.1,LIR,Female,0.08185953295799027,SEP_LIR_opt
0.1,LIR,Under 18,0.08134332547829616,SEP_LIR_opt
0.1,LIR,18-24,0.09594634569140148,SEP_LIR_opt
0.1,LIR,25-34,0.08808082865050992,SEP_LIR_opt
0.1,LIR,35-44,0.07256323355603865,SEP_LIR_opt
0.1,LIR,45-49,0.0785530570416999,SEP_LIR_opt
0.1,LIR,50-55,0.045659018017067544,SEP_LIR_opt
