metric,group,data,opt
ndcg,Male,0.0,baseline
ndcg,Male,0.8154648767857288,baseline
ndcg,Male,0.32439910505953107,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.38685280723454163,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.34477026022067775,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.43116443054301584,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.4659798746177194,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.38685280723454163,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.4813489935474191,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.3562071871080222,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.75,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.43067655807339306,baseline
ndcg,Male,0.43067655807339306,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.9314699815252195,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.9681942582085623,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.31546487678572877,baseline
ndcg,Male,0.4891364900315126,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.43067655807339306,baseline
ndcg,Male,0.3010299956639812,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.6505149978319906,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.7153382790366966,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.38685280723454163,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.5,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.8154648767857288,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.38685280723454163,baseline
ndcg,Male,0.6309297535714575,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.38685280723454163,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.6309297535714575,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.6900468833579672,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.6934264036172708,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.30824743622485495,baseline
ndcg,Male,0.32439910505953107,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.5438459439297146,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.9930350711122341,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.40876468265396737,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.43067655807339306,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.5652514814052743,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.6781035935540111,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.8099531166420328,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.5635294050291506,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.3358360319468755,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.4434264036172708,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.75,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.31718166449865726,baseline
ndcg,Male,1.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.5,baseline
ndcg,Male,0.7091140061623241,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.8154648767857288,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.3697179897096454,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.7343258582304697,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.3010299956639812,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.5654648767857288,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.7812774989197034,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.5,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.31546487678572877,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.6577324383928644,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.5,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.8154648767857288,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.6869725186864301,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.38685280723454163,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,1.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
ndcg,Male,0.0,baseline
