alpha,metric,group,data,opt
0,ndcg,Overall,0.12150283420099885,LIRopt
0,ndcg,Male,0.11933627891639242,LIRopt
0,ndcg,Female,0.12075942578643599,LIRopt
0,ndcg,Under 18,0.12324648842074465,LIRopt
0,ndcg,18-24,0.11718569714583095,LIRopt
0,ndcg,25-34,0.1232926625196382,LIRopt
0,ndcg,35-44,0.11928587779561053,LIRopt
0,ndcg,45-49,0.12615613154701222,LIRopt
0,ndcg,50-55,0.11030203107039882,LIRopt
0,ndcg,56+,0.0341498097312609,LIRopt
0,hr,Overall,0.19796745176131292,LIRopt
0,hr,Male,0.19579395714095568,LIRopt
0,hr,Female,0.19659505472233482,LIRopt
0,hr,Under 18,0.19510268562401265,LIRopt
0,hr,18-24,0.19483985765124556,LIRopt
0,hr,25-34,0.2034934497816594,LIRopt
0,hr,35-44,0.19522776572668113,LIRopt
0,hr,45-49,0.21794871794871795,LIRopt
0,hr,50-55,0.16363636363636364,LIRopt
0,hr,56+,0.058823529411764705,LIRopt
0,recall,Overall,0.01066471334861147,LIRopt
0,recall,Male,0.010061152447246669,LIRopt
0,recall,Female,0.01080557698901595,LIRopt
0,recall,Under 18,0.010267860939213436,LIRopt
0,recall,18-24,0.010102888375238829,LIRopt
0,recall,25-34,0.010959910458878864,LIRopt
0,recall,35-44,0.008950884006617177,LIRopt
0,recall,45-49,0.013164746624180074,LIRopt
0,recall,50-55,0.005862511961731671,LIRopt
0,recall,56+,0.0037080273888232367,LIRopt
0,precision,Overall,0.02953374991416604,LIRopt
0,precision,Male,0.03000133102622122,LIRopt
0,precision,Female,0.028252938792055128,LIRopt
0,precision,Under 18,0.02958135860979463,LIRopt
0,precision,18-24,0.028870106761565838,LIRopt
0,precision,25-34,0.0314410480349345,LIRopt
0,precision,35-44,0.029067245119305862,LIRopt
0,precision,45-49,0.043589743589743594,LIRopt
0,precision,50-55,0.02,LIRopt
0,precision,56+,0.007352941176470588,LIRopt
0,LIR,Overall,0.08568800479373585,LIRopt
0,LIR,Male,0.08719153010329428,LIRopt
0,LIR,Female,0.08108056834013064,LIRopt
0,LIR,Under 18,0.07973338588350994,LIRopt
0,LIR,18-24,0.09016808384651931,LIRopt
0,LIR,25-34,0.08826938542917744,LIRopt
0,LIR,35-44,0.06575090732034208,LIRopt
0,LIR,45-49,0.0784862196097156,LIRopt
0,LIR,50-55,0.039437324561738346,LIRopt
0,LIR,56+,0.1000971998670206,LIRopt
0,SEP,Overall,0.7375070303901895,LIRopt
0,SEP,Male,0.73767347758202,LIRopt
0,SEP,Female,0.7381348720981743,LIRopt
0,SEP,Under 18,0.7363938207736201,LIRopt
0,SEP,18-24,0.738266962628074,LIRopt
0,SEP,25-34,0.7384376659635394,LIRopt
0,SEP,35-44,0.7372627787379241,LIRopt
0,SEP,45-49,0.7358686886822826,LIRopt
0,SEP,50-55,0.7354642730341406,LIRopt
0,SEP,56+,0.7437186189919939,LIRopt
0,ETD,Overall,0.13415744661476123,LIRopt
0,ETD,Male,0.13453159041394336,LIRopt
0,ETD,Female,0.13295804851896528,LIRopt
0,ETD,Under 18,0.13337707786526687,LIRopt
0,ETD,18-24,0.13373121131741822,LIRopt
0,ETD,25-34,0.13503086419753085,LIRopt
0,ETD,35-44,0.13864942528735635,LIRopt
0,ETD,45-49,0.13080168776371306,LIRopt
0,ETD,50-55,0.12500000000000003,LIRopt
0,ETD,56+,0.14052287581699346,LIRopt
