alpha,metric,group,data,opt
0,ndcg,Overall,0.321932317960953,SEP_LIR_opt
0,ndcg,Male,0.32062599413001464,SEP_LIR_opt
0,ndcg,Female,0.3251617647390326,SEP_LIR_opt
0,ndcg,Under 18,0.27878264623760857,SEP_LIR_opt
0,ndcg,18-24,0.32924996810701646,SEP_LIR_opt
0,ndcg,25-34,0.31732237276854436,SEP_LIR_opt
0,ndcg,35-44,0.32643844479762824,SEP_LIR_opt
0,ndcg,45-49,0.30141062362013443,SEP_LIR_opt
0,ndcg,50-55,0.33011007534049913,SEP_LIR_opt
0,ndcg,56+,0.35572262311686714,SEP_LIR_opt
0,ndcg,other,0.289504790442227,SEP_LIR_opt
0,ndcg,academic/educator,0.30891082798562375,SEP_LIR_opt
0,ndcg,artist,0.3172309193242885,SEP_LIR_opt
0,ndcg,clerical/admin,0.28371094745900943,SEP_LIR_opt
0,ndcg,college/grad student,0.33137159943039546,SEP_LIR_opt
0,ndcg,customer service,0.29401159322823484,SEP_LIR_opt
0,ndcg,doctor/health care,0.35544273269898613,SEP_LIR_opt
0,ndcg,executive/managerial,0.3309211598785078,SEP_LIR_opt
0,ndcg,farmer,0.37782090966751364,SEP_LIR_opt
0,ndcg,homemaker,0.39751200991792385,SEP_LIR_opt
0,ndcg,K-12 student,0.27103038928585393,SEP_LIR_opt
0,ndcg,lawyer,0.2786290914714617,SEP_LIR_opt
0,ndcg,programmer,0.32298814649161156,SEP_LIR_opt
0,ndcg,retired,0.3786377864126678,SEP_LIR_opt
0,ndcg,sales/marketing,0.3213556472493416,SEP_LIR_opt
0,ndcg,scientist,0.3119619650386307,SEP_LIR_opt
0,ndcg,self-employed,0.32324074160786725,SEP_LIR_opt
0,ndcg,technician/engineer,0.3666299802913355,SEP_LIR_opt
0,ndcg,tradesman/craftsman,0.31207888666030775,SEP_LIR_opt
0,ndcg,unemployed,0.3284651043225046,SEP_LIR_opt
0,ndcg,writer,0.31402998314365627,SEP_LIR_opt
0,hr,Overall,0.5526490066225166,SEP_LIR_opt
0,hr,Male,0.5506811359963057,SEP_LIR_opt
0,hr,Female,0.5573770491803278,SEP_LIR_opt
0,hr,Under 18,0.5067873303167421,SEP_LIR_opt
0,hr,18-24,0.5621033544877606,SEP_LIR_opt
