alpha,metric,group,data,opt
0,ndcg,Overall,0.321932317960953,SEPopt
0,ndcg,Male,0.32062599413001464,SEPopt
0,ndcg,Female,0.3251617647390326,SEPopt
0,ndcg,Under 18,0.27878264623760857,SEPopt
0,ndcg,18-24,0.32924996810701646,SEPopt
0,ndcg,25-34,0.31732237276854436,SEPopt
0,ndcg,35-44,0.32643844479762824,SEPopt
0,ndcg,45-49,0.30141062362013443,SEPopt
0,ndcg,50-55,0.33011007534049913,SEPopt
0,ndcg,56+,0.35572262311686714,SEPopt
0,ndcg,other,0.289504790442227,SEPopt
0,ndcg,academic/educator,0.30891082798562375,SEPopt
0,ndcg,artist,0.3172309193242885,SEPopt
0,ndcg,clerical/admin,0.28371094745900943,SEPopt
0,ndcg,college/grad student,0.33137159943039546,SEPopt
0,ndcg,customer service,0.29401159322823484,SEPopt
0,ndcg,doctor/health care,0.35544273269898613,SEPopt
0,ndcg,executive/managerial,0.3309211598785078,SEPopt
0,ndcg,farmer,0.37782090966751364,SEPopt
0,ndcg,homemaker,0.39751200991792385,SEPopt
0,ndcg,K-12 student,0.27103038928585393,SEPopt
0,ndcg,lawyer,0.2786290914714617,SEPopt
0,ndcg,programmer,0.32298814649161156,SEPopt
0,ndcg,retired,0.3786377864126678,SEPopt
0,ndcg,sales/marketing,0.3213556472493416,SEPopt
0,ndcg,scientist,0.3119619650386307,SEPopt
0,ndcg,self-employed,0.32324074160786725,SEPopt
0,ndcg,technician/engineer,0.3666299802913355,SEPopt
0,ndcg,tradesman/craftsman,0.31207888666030775,SEPopt
0,ndcg,unemployed,0.3284651043225046,SEPopt
0,ndcg,writer,0.31402998314365627,SEPopt
0,hr,Overall,0.5526490066225166,SEPopt
0,hr,Male,0.5506811359963057,SEPopt
0,hr,Female,0.5573770491803278,SEPopt
0,hr,Under 18,0.5067873303167421,SEPopt
0,hr,18-24,0.5621033544877606,SEPopt
0,hr,25-34,0.5500954198473282,SEPopt
0,hr,35-44,0.548197820620285,SEPopt
0,hr,45-49,0.54,SEPopt
0,hr,50-55,0.5584677419354839,SEPopt
0,hr,56+,0.5894736842105263,SEPopt
0,hr,other,0.5189873417721519,SEPopt
0,hr,academic/educator,0.5321969696969697,SEPopt
0,hr,artist,0.5205992509363296,SEPopt
0,hr,clerical/admin,0.48554913294797686,SEPopt
0,hr,college/grad student,0.5665349143610013,SEPopt
0,hr,customer service,0.5,SEPopt
0,hr,doctor/health care,0.6101694915254238,SEPopt
0,hr,executive/managerial,0.5625920471281296,SEPopt
0,hr,farmer,0.5882352941176471,SEPopt
0,hr,homemaker,0.6304347826086957,SEPopt
0,hr,K-12 student,0.5,SEPopt
0,hr,lawyer,0.4883720930232558,SEPopt
0,hr,programmer,0.5541237113402062,SEPopt
0,hr,retired,0.6197183098591549,SEPopt
0,hr,sales/marketing,0.5728476821192053,SEPopt
0,hr,scientist,0.5416666666666666,SEPopt
0,hr,self-employed,0.5518672199170125,SEPopt
0,hr,technician/engineer,0.6155378486055777,SEPopt
0,hr,tradesman/craftsman,0.5142857142857142,SEPopt
0,hr,unemployed,0.5277777777777778,SEPopt
0,hr,writer,0.5480427046263345,SEPopt
0,recall,Overall,0.050308653911590374,SEPopt
0,recall,Male,0.049623135219771373,SEPopt
0,recall,Female,0.05203601022946996,SEPopt
0,recall,Under 18,0.04377645995252766,SEPopt
0,recall,18-24,0.051559335103328566,SEPopt
0,recall,25-34,0.049610964712896735,SEPopt
0,recall,35-44,0.05072278739439546,SEPopt
0,recall,45-49,0.04884799622016948,SEPopt
0,recall,50-55,0.05178604798556819,SEPopt
0,recall,56+,0.053162143996326544,SEPopt
0,recall,other,0.04904164311005988,SEPopt
0,recall,academic/educator,0.04725263999751867,SEPopt
0,recall,artist,0.04406163122480109,SEPopt
0,recall,clerical/admin,0.044300802382375326,SEPopt
0,recall,college/grad student,0.055632745744803744,SEPopt
0,recall,customer service,0.05504494835468511,SEPopt
0,recall,doctor/health care,0.05266299367996232,SEPopt
0,recall,executive/managerial,0.04765280015746293,SEPopt
0,recall,farmer,0.06588302308542691,SEPopt
0,recall,homemaker,0.05461020689254915,SEPopt
0,recall,K-12 student,0.04157514053591911,SEPopt
0,recall,lawyer,0.04736504333242274,SEPopt
0,recall,programmer,0.050206240652519094,SEPopt
0,recall,retired,0.05638365922166318,SEPopt
0,recall,sales/marketing,0.04979562737132136,SEPopt
0,recall,scientist,0.04848578993423148,SEPopt
0,recall,self-employed,0.0530463488281158,SEPopt
0,recall,technician/engineer,0.054811354549465445,SEPopt
0,recall,tradesman/craftsman,0.04815915275061328,SEPopt
0,recall,unemployed,0.05161432992478513,SEPopt
0,recall,writer,0.05039290590731469,SEPopt
0,precision,Overall,0.10382450331125828,SEPopt
0,precision,Male,0.10286308012006465,SEPopt
0,precision,Female,0.10608899297423886,SEPopt
0,precision,Under 18,0.08823529411764706,SEPopt
0,precision,18-24,0.1071622846781505,SEPopt
0,precision,25-34,0.10176526717557252,SEPopt
0,precision,35-44,0.10712489522212909,SEPopt
0,precision,45-49,0.09927272727272728,SEPopt
0,precision,50-55,0.1030241935483871,SEPopt
0,precision,56+,0.11105263157894738,SEPopt
0,precision,other,0.09127988748241914,SEPopt
0,precision,academic/educator,0.10246212121212123,SEPopt
0,precision,artist,0.09925093632958802,SEPopt
0,precision,clerical/admin,0.09595375722543353,SEPopt
0,precision,college/grad student,0.10052700922266139,SEPopt
0,precision,customer service,0.11250000000000002,SEPopt
0,precision,doctor/health care,0.11059322033898306,SEPopt
0,precision,executive/managerial,0.10603829160530191,SEPopt
0,precision,farmer,0.11764705882352941,SEPopt
0,precision,homemaker,0.12065217391304346,SEPopt
0,precision,K-12 student,0.08762886597938144,SEPopt
0,precision,lawyer,0.07674418604651163,SEPopt
0,precision,programmer,0.10335051546391753,SEPopt
0,precision,retired,0.11549295774647886,SEPopt
0,precision,sales/marketing,0.1119205298013245,SEPopt
0,precision,scientist,0.10972222222222222,SEPopt
0,precision,self-employed,0.10788381742738591,SEPopt
0,precision,technician/engineer,0.11812749003984063,SEPopt
0,precision,tradesman/craftsman,0.10142857142857142,SEPopt
0,precision,unemployed,0.1111111111111111,SEPopt
0,precision,writer,0.11067615658362989,SEPopt
0,LIR,Overall,0.16316679831718334,SEPopt
0,LIR,Male,0.16504617719828796,SEPopt
0,LIR,Female,0.1584012304400966,SEPopt
0,LIR,Under 18,0.1294634555708635,SEPopt
0,LIR,18-24,0.1530493753152626,SEPopt
0,LIR,25-34,0.18500573223934721,SEPopt
0,LIR,35-44,0.16710652139446977,SEPopt
0,LIR,45-49,0.15463000245409766,SEPopt
0,LIR,50-55,0.14683781082287253,SEPopt
0,LIR,56+,0.1129770001800051,SEPopt
0,LIR,other,0.16555741469385052,SEPopt
0,LIR,academic/educator,0.16519831528596837,SEPopt
0,LIR,artist,0.19109828057253167,SEPopt
0,LIR,clerical/admin,0.1843703712824941,SEPopt
0,LIR,college/grad student,0.16737775699566998,SEPopt
0,LIR,customer service,0.21808926085919805,SEPopt
0,LIR,doctor/health care,0.14799710525394888,SEPopt
0,LIR,executive/managerial,0.14854368368490525,SEPopt
0,LIR,farmer,0.12661708987483128,SEPopt
0,LIR,homemaker,0.09324083383699346,SEPopt
0,LIR,K-12 student,0.13188681159853471,SEPopt
0,LIR,lawyer,0.18054181419792198,SEPopt
0,LIR,programmer,0.17580826717030307,SEPopt
0,LIR,retired,0.11064907581149834,SEPopt
0,LIR,sales/marketing,0.13768084581693932,SEPopt
0,LIR,scientist,0.14427718818475196,SEPopt
0,LIR,self-employed,0.14645430062984555,SEPopt
0,LIR,technician/engineer,0.17877646998320357,SEPopt
0,LIR,tradesman/craftsman,0.19556932719100575,SEPopt
0,LIR,unemployed,0.2247142990959654,SEPopt
0,LIR,writer,0.17600109690282195,SEPopt
0,SEP,Overall,0.45966298081987855,SEPopt
0,SEP,Male,0.4594430207757964,SEPopt
0,SEP,Female,0.46014176869897294,SEPopt
0,SEP,Under 18,0.46091065242532786,SEPopt
0,SEP,18-24,0.4651158021403143,SEPopt
0,SEP,25-34,0.4553496153757144,SEPopt
0,SEP,35-44,0.45940600759761546,SEPopt
0,SEP,45-49,0.4566124101382079,SEPopt
0,SEP,50-55,0.4678560604750107,SEPopt
0,SEP,56+,0.461074440810483,SEPopt
0,SEP,other,0.45123219287075383,SEPopt
0,SEP,academic/educator,0.4645296597471793,SEPopt
0,SEP,artist,0.4607281144100234,SEPopt
0,SEP,clerical/admin,0.4607775887975666,SEPopt
0,SEP,college/grad student,0.4583993356140699,SEPopt
0,SEP,customer service,0.459580715408968,SEPopt
0,SEP,doctor/health care,0.46306934336647537,SEPopt
0,SEP,executive/managerial,0.46651908251475316,SEPopt
0,SEP,farmer,0.4619025892773876,SEPopt
0,SEP,homemaker,0.4722811253117879,SEPopt
0,SEP,K-12 student,0.4569331754346445,SEPopt
0,SEP,lawyer,0.4646993544357788,SEPopt
0,SEP,programmer,0.45469043788225855,SEPopt
0,SEP,retired,0.4651787235657083,SEPopt
0,SEP,sales/marketing,0.4589789214462952,SEPopt
0,SEP,scientist,0.45606734786426123,SEPopt
0,SEP,self-employed,0.4580330140419554,SEPopt
0,SEP,technician/engineer,0.4617433027479511,SEPopt
0,SEP,tradesman/craftsman,0.46118640302610914,SEPopt
0,SEP,unemployed,0.4521311183333232,SEPopt
0,SEP,writer,0.4548846359417471,SEPopt
0,ETD,Overall,0.15251655629139074,SEPopt
0,ETD,Male,0.15255137381667053,SEPopt
0,ETD,Female,0.15240046838407498,SEPopt
0,ETD,Under 18,0.1497737556561086,SEPopt
0,ETD,18-24,0.1542157751586582,SEPopt
0,ETD,25-34,0.15033396946564886,SEPopt
0,ETD,35-44,0.15213746856663876,SEPopt
0,ETD,45-49,0.1529090909090909,SEPopt
0,ETD,50-55,0.1606854838709678,SEPopt
0,ETD,56+,0.15105263157894738,SEPopt
0,ETD,other,0.1528832630098453,SEPopt
0,ETD,academic/educator,0.15606060606060607,SEPopt
0,ETD,artist,0.15692883895131088,SEPopt
0,ETD,clerical/admin,0.14277456647398842,SEPopt
0,ETD,college/grad student,0.15388669301712782,SEPopt
0,ETD,customer service,0.15089285714285716,SEPopt
0,ETD,doctor/health care,0.1495762711864407,SEPopt
0,ETD,executive/managerial,0.15154639175257734,SEPopt
0,ETD,farmer,0.16470588235294123,SEPopt
0,ETD,homemaker,0.15760869565217392,SEPopt
0,ETD,K-12 student,0.14948453608247425,SEPopt
0,ETD,lawyer,0.15736434108527134,SEPopt
0,ETD,programmer,0.1502577319587629,SEPopt
0,ETD,retired,0.14999999999999997,SEPopt
0,ETD,sales/marketing,0.15463576158940395,SEPopt
0,ETD,scientist,0.1486111111111111,SEPopt
0,ETD,self-employed,0.14854771784232368,SEPopt
0,ETD,technician/engineer,0.15517928286852592,SEPopt
0,ETD,tradesman/craftsman,0.15428571428571428,SEPopt
0,ETD,unemployed,0.15416666666666667,SEPopt
0,ETD,writer,0.14768683274021352,SEPopt
0.05,ndcg,Overall,0.3210581141887558,SEPopt
0.05,ndcg,Male,0.31984951696521124,SEPopt
0.05,ndcg,Female,0.3240714209842512,SEPopt
0.05,ndcg,Under 18,0.28231971251259247,SEPopt
0.05,ndcg,18-24,0.32538188096357423,SEPopt
0.05,ndcg,25-34,0.3151827564871111,SEPopt
0.05,ndcg,35-44,0.3310515392645196,SEPopt
0.05,ndcg,45-49,0.29990724933837637,SEPopt
0.05,ndcg,50-55,0.32487613889659367,SEPopt
0.05,ndcg,56+,0.35746915231829424,SEPopt
0.05,ndcg,other,0.294915895911471,SEPopt
0.05,ndcg,academic/educator,0.3098579824899238,SEPopt
0.05,ndcg,artist,0.3176321755198269,SEPopt
0.05,ndcg,clerical/admin,0.2802771155534371,SEPopt
0.05,ndcg,college/grad student,0.32839043060573253,SEPopt
0.05,ndcg,customer service,0.2906863983118796,SEPopt
0.05,ndcg,doctor/health care,0.3359646616862998,SEPopt
0.05,ndcg,executive/managerial,0.3245439412973602,SEPopt
0.05,ndcg,farmer,0.37837370858821817,SEPopt
0.05,ndcg,homemaker,0.3800173490259505,SEPopt
0.05,ndcg,K-12 student,0.2767130228063343,SEPopt
0.05,ndcg,lawyer,0.28607037286613873,SEPopt
0.05,ndcg,programmer,0.327387269829152,SEPopt
0.05,ndcg,retired,0.3780949649964718,SEPopt
0.05,ndcg,sales/marketing,0.3194927660337696,SEPopt
0.05,ndcg,scientist,0.3172748096915282,SEPopt
0.05,ndcg,self-employed,0.31592672154025864,SEPopt
0.05,ndcg,technician/engineer,0.3642861182197939,SEPopt
