alpha,metric,group,data,opt
0,ndcg,Overall,0.292417192374891,baseline
0,ndcg,Male,0.2907544707780036,baseline
0,ndcg,Female,0.2963467248196533,baseline
0,ndcg,Under 18,0.27133312681495825,baseline
0,ndcg,18-24,0.2938655506749076,baseline
0,ndcg,25-34,0.29171305683015614,baseline
0,ndcg,35-44,0.2917184164538,baseline
0,ndcg,45-49,0.28927163232145764,baseline
0,ndcg,50-55,0.2970503661047059,baseline
0,ndcg,56+,0.30376967947591066,baseline
0,ndcg,other,0.2734568448531806,baseline
0,ndcg,academic/educator,0.29563472435388255,baseline
0,ndcg,artist,0.25564925237691966,baseline
0,ndcg,clerical/admin,0.2703562206330374,baseline
0,ndcg,college/grad student,0.29204975163914165,baseline
0,ndcg,customer service,0.2589134607758412,baseline
0,ndcg,doctor/health care,0.336952512752285,baseline
0,ndcg,executive/managerial,0.29654330090279196,baseline
0,ndcg,farmer,0.294760031447118,baseline
0,ndcg,homemaker,0.30997728648133976,baseline
0,ndcg,K-12 student,0.27133363869424487,baseline
0,ndcg,lawyer,0.23057735229206006,baseline
0,ndcg,programmer,0.29505519185123313,baseline
0,ndcg,retired,0.3137457091542918,baseline
0,ndcg,sales/marketing,0.3110712059057032,baseline
0,ndcg,scientist,0.29961639978150817,baseline
0,ndcg,self-employed,0.30073076445049784,baseline
0,ndcg,technician/engineer,0.3174630579924326,baseline
0,ndcg,tradesman/craftsman,0.2600369475033409,baseline
0,ndcg,unemployed,0.2779134793823908,baseline
0,ndcg,writer,0.30689891631786875,baseline
0,hr,Overall,0.5526490066225166,baseline
0,hr,Male,0.5506811359963057,baseline
0,hr,Female,0.5573770491803278,baseline
0,hr,Under 18,0.5067873303167421,baseline
0,hr,18-24,0.5621033544877606,baseline
0,hr,25-34,0.5500954198473282,baseline
0,hr,35-44,0.548197820620285,baseline
0,hr,45-49,0.54,baseline
0,hr,50-55,0.5584677419354839,baseline
0,hr,56+,0.5894736842105263,baseline
0,hr,other,0.5189873417721519,baseline
0,hr,academic/educator,0.5321969696969697,baseline
0,hr,artist,0.5205992509363296,baseline
0,hr,clerical/admin,0.48554913294797686,baseline
0,hr,college/grad student,0.5665349143610013,baseline
0,hr,customer service,0.5,baseline
0,hr,doctor/health care,0.6101694915254238,baseline
0,hr,executive/managerial,0.5625920471281296,baseline
0,hr,farmer,0.5882352941176471,baseline
0,hr,homemaker,0.6304347826086957,baseline
0,hr,K-12 student,0.5,baseline
0,hr,lawyer,0.4883720930232558,baseline
0,hr,programmer,0.5541237113402062,baseline
0,hr,retired,0.6197183098591549,baseline
0,hr,sales/marketing,0.5728476821192053,baseline
0,hr,scientist,0.5416666666666666,baseline
0,hr,self-employed,0.5518672199170125,baseline
0,hr,technician/engineer,0.6155378486055777,baseline
0,hr,tradesman/craftsman,0.5142857142857142,baseline
0,hr,unemployed,0.5277777777777778,baseline
0,hr,writer,0.5480427046263345,baseline
0,recall,Overall,0.050308653911590374,baseline
0,recall,Male,0.049623135219771373,baseline
0,recall,Female,0.05203601022946996,baseline
0,recall,Under 18,0.04377645995252766,baseline
0,recall,18-24,0.051559335103328566,baseline
0,recall,25-34,0.049610964712896735,baseline
0,recall,35-44,0.05072278739439546,baseline
0,recall,45-49,0.04884799622016948,baseline
0,recall,50-55,0.05178604798556819,baseline
0,recall,56+,0.053162143996326544,baseline
0,recall,other,0.04904164311005988,baseline
0,recall,academic/educator,0.04725263999751867,baseline
0,recall,artist,0.04406163122480109,baseline
0,recall,clerical/admin,0.044300802382375326,baseline
0,recall,college/grad student,0.055632745744803744,baseline
0,recall,customer service,0.05504494835468511,baseline
0,recall,doctor/health care,0.05266299367996232,baseline
0,recall,executive/managerial,0.04765280015746293,baseline
0,recall,farmer,0.06588302308542691,baseline
0,recall,homemaker,0.05461020689254915,baseline
0,recall,K-12 student,0.04157514053591911,baseline
0,recall,lawyer,0.04736504333242274,baseline
0,recall,programmer,0.050206240652519094,baseline
0,recall,retired,0.05638365922166318,baseline
0,recall,sales/marketing,0.04979562737132136,baseline
0,recall,scientist,0.04848578993423148,baseline
0,recall,self-employed,0.0530463488281158,baseline
