model,alpha,ndcg,hr,ETD
VRKG4Rec,0.0000,0.2058,0.3333,0.2022
VRKG4Rec,0.0500,0.2058,0.3333,0.2212
VRKG4Rec,0.1000,0.2058,0.3333,0.2221
VRKG4Rec,0.1500,0.2058,0.3333,0.2233
VRKG4Rec,0.2000,0.2058,0.3333,0.2240
VRKG4Rec,0.2500,0.2058,0.3333,0.2245
VRKG4Rec,0.3000,0.2058,0.3333,0.2251
VRKG4Rec,0.3500,0.2058,0.3333,0.2255
VRKG4Rec,0.4000,0.2058,0.3333,0.2260
VRKG4Rec,0.4500,0.2058,0.3333,0.2266
VRKG4Rec,0.5000,0.2058,0.3333,0.2272
VRKG4Rec,0.5500,0.2058,0.3333,0.2280
VRKG4Rec,0.6000,0.2058,0.3333,0.2284
VRKG4Rec,0.6500,0.2058,0.3333,0.2284
VRKG4Rec,0.7000,0.2058,0.3333,0.2284
VRKG4Rec,0.7500,0.2058,0.3333,0.2284
VRKG4Rec,0.8000,0.2058,0.3333,0.2284
VRKG4Rec,0.8500,0.2058,0.3333,0.2284
VRKG4Rec,0.9000,0.2058,0.3333,0.2284
VRKG4Rec,0.9500,0.2058,0.3333,0.2284
VRKG4Rec,1.0000,0.2058,0.3333,0.2284
PGPR,0.0000,0.1151,0.1799,0.1204
PGPR,0.0500,0.1153,0.1807,0.1530
PGPR,0.1000,0.1152,0.1814,0.1785
PGPR,0.1500,0.1150,0.1828,0.2114
PGPR,0.2000,0.1148,0.1831,0.2424
PGPR,0.2500,0.1146,0.1825,0.2664
PGPR,0.3000,0.1143,0.1814,0.2867
PGPR,0.3500,0.1138,0.1801,0.3067
PGPR,0.4000,0.1133,0.1783,0.3266
PGPR,0.4500,0.1125,0.1758,0.3435
PGPR,0.5000,0.1117,0.1738,0.3534
PGPR,0.5500,0.1112,0.1731,0.3575
PGPR,0.6000,0.1110,0.1728,0.3587
PGPR,0.6500,0.1110,0.1728,0.3589
PGPR,0.7000,0.1110,0.1728,0.3590
PGPR,0.7500,0.1110,0.1728,0.3590
PGPR,0.8000,0.1110,0.1728,0.3590
PGPR,0.8500,0.1110,0.1728,0.3590
PGPR,0.9000,0.1110,0.1728,0.3590
PGPR,0.9500,0.1110,0.1728,0.3590
PGPR,1.0000,0.1110,0.1728,0.3590
